chunom,translation
上命光啓詣舘疑見椿髙卧不出,thượng mệnh quang khải nghệ quán nghi kiến xuân cao ngoạ bất xuất
𦊚馭駟默矛麻𪠞𫁞𫁞,bốn ngựa tứ mặc mâu ma đi rập rập
𬖉片月准長安時󰠱蒸襖𢶢列朱㝵遠塞,trông phiến nguyệt chốn tràng an thời nện chưng áo chống rét cho người viễn tái
喂金郎唉金郎,ối kim lang hỡi kim lang
達麻𠳒沛𢜝埃吱唭,đật mà lời phải sợ ai chi cười
䀡花𣠖𤑟㐌芒㗂𠁀,xem hoa chưa rõ đã mang tiếng đời
钱𥾾𦄂襊晡晡招朱柴𧴤添󱳮𠓨𨉟,tiền buộc dải túi bo bo. trao cho thầy bói thêm lo vào mình
十一日明遣正使行人司行人劉秩來諭祭于仁宗,"thập nhất nhật, minh khiển chánh sứ hành nhân ti hành nhân lưu chật lai dụ tế vu nhân tông"
𣜿橋儒𡮈𡳳𡌿北昂,nhịp cầu nho nhỏ cuối ghềnh bắc ngang
𢀭爫󰑓狭爫单送塟朱安魂魄媄,"giàu làm kép, hẹp làm đơn, tống táng cho yên hồn phách mẹ"
時若有待今聖天啓中興躬任斯道隆儒一事㔫所惓惓,"thời nhược hữu đãi kim thánh thiên khải trung hưng, cung nhiệm tư đạo long nho nhất sự vưu sở quyền quyền"
兹属涖祚之初宜布維新之命其以明年爲洪熙元年所有合行事宜條示于左一交趾採金銀及󰇼香課等類悉皆停趾,"tư thuộc lị tộ chi sơ, nghi bố duy tân chi mệnh, kì dĩ minh niên vi hồng hi nguyên niên, sở hữu hợp hành sự nghi điều thị vu tả nhất giao chỉ thái kim ngân cập thái hương khoả đẳng loại, tất giai đình chỉ"
順天凣六,thuận thiên phàm lục
𡍢𣁔𡍢𢌌,gò lớn. gò rộng
觥孤蹺󱫕江津,quanh co theo dải giang tân
節制鄭松令進兵永頼琤江駐營數日回京,"tiết chế trịnh tùng lệnh tiến binh vĩnh lại, tranh giang trú dinh sổ nhật hồi kinh"
九月太師督大兵畧定山南中路攻破長安府各縣及至朱雀門駐兵,"cửu nguyệt, thái sư đốc đại binh lược định sơn nam trung lộ, công phá trường yên phủ các huyện, cập chí chu tước môn trú binh"
𪡈侯傳奇隊攕𢯢噐械蹺些,bớ hầu truyền cả đội sắm sửa khí giới theo ta
是夜天大雨,"thị dạ, thiên đại vũ"
岧箕𪤄怒𤋵油𤾰之,đèo kia bãi nọ giãi dầu ngại chi
署𡑲,thợ gốm
莫兵設伏于險要出奇兵挑戰𠍵北,mạc binh thiết phục vu hiểm yếu xuất kì binh khiêu chiến dạng bắc
眾生每𠊛每固花蓮,chúng sinh mỗi người mỗi có hoa sen
是夜三更節制鄭松差阮有僚領鋭卒一萬五千人及輕騎二百匹暗夜潜行至山脚中尋洞泉蘆葦雜處埋伏以待之約咱大砲三響伏兵悉起,"thị dạ tam canh, tiết chế trịnh tùng sai nguyễn hữu liêu lĩnh duệ tốt nhất vạn ngũ thiên nhân, cập khinh kị nhị bách thất, ám dạ tiềm hành chí sơn cước trung tầm động tuyền lô vi tạp xứ, mai phục dĩ đãi chi, ước thính đại pháo tam hưởng phục binh tất khởi"
莫人每以文詞華飭對答又,"mạc nhân mỗi dĩ văn từ hoa sức đối đáp, hựu"
併它衝社斫牟,tính đà xong xã chước mầu
朱𢧚固達𠇍𠳒,cho nên có đặt mấy lời
士黎德輝金吾衛將軍鄧孝祿並爲審刑院副使,"sĩ lê đức huy, kim ngô vệ tướng quân đặng hiếu lộc tịnh vi thẩm hình viện phó sứ thử tứ danh giai đầu mục dã"
教𪡔𰿘渃承傳恪渃恪㗂宁印蔑例,"giáo ra muôn nước thừa truyền. khác nước khác tiếng, chữ in một lề"
胡亥𠱋亥宁𣳔都制,hò hỡi dô hỡi giữa dòng đua chơi
芒種皮節倘𠄼逼律庄南号󰑼都魯,mang chủng vừa tiết tháng năm. bức sốt chẳng nằm hiệu là tua rua
禮僃樂和平定日政清刑措暭熙年,"lễ bị lạc hoà bình định nhật, chính thanh hình thố hạo hi niên"
故徵𭛁督府事也體統必䦕兵部出納户部職也幇支必與户科,cố trưng phát đốc phủ sự dã thể thống tất quan binh bộ xuất nạp hộ bộ chức dã bang chi tất dữ hộ khoa
詔凣爭田而有榖者且分為二償耕者一分留一分,chiếu phàm tranh điền nhi hữu cốc giả thả phân vi nhị thường canh giả nhất phần lưu nhất phần
㗂朗特油𦖑燕説鶯吟,được dầu nghe yến thốt oanh ngâm
運治共乱軫點𪰛朋些生枉固濫之,vận trị cùng loàn chỉn điểm thời. bằng ta sinh uổng có làm chi
景清羕意庄𧗱擬,cảnh thanh dường ấy chăng về nghỉ
󰍹求,sai cân mòn cầu
務絆遁奇𫷜,mùa bận rộn cả năm
剽掠沿海居民,phiêu lược duyên hải cư dân
賜少保吏部尚書兼東閣大𭓇士入侍經筵武睿貞懿功臣,tứ thiếu bảo lại bộ thượng thư kiêm đông các đại học sĩ nhập thị kinh diên vũ duệ trinh ý công thần
帝念阮然之恩酧之金幣可也授之行遣,"đế niệm nguyễn nhiên chi ân thù chi kim tệ khả dã, thụ chi hành khiển"
捋鬚孛油,loát tu vuốt râu
九月差河溪侯将兵出守錦水哀壘因反降于莫,"cửu nguyệt, sai hà khê hầu tướng binh xuất thủ cẩm thuỷ, ai luỹ, nhân phản hàng vu mạc"
以禮部左侍郎陽郡公阮能紹刑部左侍郎桂海侯黎仕澈工部左侍郎延禄伯楊㵆兵部右侍郎潤裔伯胡士,"dĩ lễ bộ tả thị lang dương quận công nguyễn năng thiệu, hình bộ tả thị lang quế hải hầu lê sĩ triệt, công bộ tả thị lang diên lộc bá dương hạo binh bộ hữu thị lang nhuận duệ bá hồ sĩ"
惟南道将阮倦遠避得全,duy nam đạo tướng nguyễn quyện viễn tị đắc toàn
弘裕稱病不朝,hoằng dụ xưng bệnh bất triều
正爲禮部右侍郎武良爲刑部右侍郎裴廷員爲工部右侍郎〇,"chính vi lễ bộ hữu thị lang, vũ lương vi hình bộ hữu thị lang, bùi đình viên vi công bộ hữu thị lang"
𣩂捽𠫾英只扽丐𣩂朱碎買,chết tuốt đi anh chỉ dồn cái chết cho tôi mãi
更強演月強高,canh càng diễn nguyệt càng cao
黎文休曰前吳王䏻以我越所集之兵破劉弘操百萬之眾拓土稱王使北人不敢復來者,"lê văn hưu viết tiền ngô vương năng dĩ ngã việt sở tập chi binh, phá lưu hoằng thao bách vạn chi chúng, thác thổ xưng vương, sử bắc nhân bất cảm phục lai giả"
冲軍碎𠳨少之󰖥絲,trong quân tôi hỏi thiếu gì tóc tơ
買咍浪焒𧵆笘油提時拱𤈜藍拯空,mới hay rằng lửa gần rơm. dẫu đè thì cũng cháy lòm chẳng không
三月㓂清化等處,"tam nguyệt, khấu thanh hoá đẳng xứ"
於中房巴邁糁𢆥庄固埃別㝵󰑼埃,"ở trong phòng ba mươi tám năm, chẳng có ai biết người là ai"
帝以祝非望族姓改姓范遇舊名堅邁舊名固俱受業于阮士固,"đế dĩ chúc phi vọng tộc tính, cải tính phạm ngộ cựu danh kiên, mại cựu danh cố, cụ thụ nghiệp vu nguyễn sĩ cố"
庚寅二年宋淳元年,"canh dần, nhị niên tống thuần nguyên niên"
客詩興議嫌𣠖堵,khách thơ hứng ngợi hiềm chửa đủ
𡗶𫳵𡗶於𫽄公𠊛𠄼𬙞𡞕𠊛空𡞕󰅹,"trời sao trời ở chẳng công. người năm bảy vợ, người không vợ nào"
年巴林老迈咄昌,nên ba trăm sáu mươi đốt xương
乾坤梗𨕭𦠘,càn khôn gánh trên vai
𤇧𦧘,sấy thịt
左相鄭松收獲其子恂快忱等皆殺之,"tả tướng trịnh tùng thu hoạch kì tử tuân, khoái, thầm, đẳng giai sát chi"
補課𡑝程𠀧𡬷雪填欺󰘂孛󰜋圩香,bõ thuở sân trình ba tấc tuyết. đền khi cửa bụt một vò hương
𪀄坤坤奇自󱦮坤旦尽篭绳挭拱坤,"chim khôn khôn cả từ lông. khôn đến tận lồng, thằng gánh cũng khôn"
役娘仍巴蜍悁身,diếc nàng những giống bơ thờ quen thân
餒𩟻𠄼𡥵買󰜋𫯳,nuôi nấng năm con với một chồng
椿𭁈之偕來托以帝不請命而自立為辝諭使入朝,xuân dữ chi giai lai thác dĩ đế bất thỉnh mệnh nhi tự lập vi từm dụ sử nhập triều
𡗶冬𣇜霜潭雪渗,trời đông buổi sương dầm tuyết thấm
帝欲觀國史命内官就翰林院密諭史官黎義曰昔房玄齡為史官唐太宗欲觀實録玄齡不𭁈之觀,"đế dục quan quốc sử, mệnh nội quan tựu hàn lâm viện mật dụ sử quan lê nghĩa viết tích phòng huyền linh vi sử quan, đường thái tông dục quan thực lục, huyền linh bất dữ chi quan"
肉机丐橽太𬚸,nhục cơ cái thớt thái thịt
辛巳十一年,tân tị thập nhất niên tống gia thập tứ niên
秋八月詔楊嗣明勾管陸路諸沿邉溪峒公事,"thu bát nguyệ, chiếu dương tự minh câu quản lục lộ chư duyên biên khê động công sự"
渃牢彼猥闭喂底尙𪘵𤽸脇𠊛𪘵顛,nước sao bỉ ổi bấy ôi. để thằng răng trắng hiếp người răng đen
貴妃恨彼鋭連饒昌,quý phi hận bỉ nhọn lườn nhiều xương
共饒結伴同心欺𬄯欺𨢇欺琴欺詩,"cùng nhau kết bạn đồng tâm. khi cờ khi rượu, khi cầm khi thơ"
𠬠𠇮󰂌畧󰂌𡢐,một mình cầu trước cầu sau
會試天下󰁮人取黎俊彦等二十六人其試法筋一塲四書入題舉子自,hội thí thiên hạ cử nhân thủ lê tuấn ngạn đẳng nhị thập lục nhân kì thí pháp cân nhất trường tứ thư nhập đề cử tử tự
𬑉花𦖻󰠱󰅹群,mắt hoa tai nặng nào còn
𢭮宫南󰋇㗂嘺𢚸秋𬏓吝,"gảy cung nam mấy tiếng, ghẹo lòng thu vài lần"
𫗃慈海海迻󱏹錦𦝄慧漏漏豸傘花,gió từ hây hẩy đưa buồm gấm. trăng tuệ làu làu giãi tán hoa
簩藶,lau lách
梭迻𣈗𣎃󰖁𣭻,thoi đưa ngày tháng ruổi mau
其餘加陞職爵有差,kì dư gia thăng chức tước hữu sai
碎固傷拱𠤆𢧚傷,tôi có thương cũng chớ nên thương
化年𠬛湥泖特沚包工皿昆󰻛,hoá nên một giọt máu đặc
𠄩払調沛𠬠辰𠇮亡,hai chàng đều phải một thời mạng vong
勑旨繼今百官進朝不得唾放芙榴殘汁於丹墀門庭,sắc chỉ kế kim bách quan tiến triều bất đắc thoá phóng phù lựu tàn trấp ư đan trì môn đình
占城之㓂掠也以日禮母出亡其國誘使入㓂以復日禮之讐,chiêm thành chi khấu lược dã dĩ nhật lễ mẫu xuất vong kì quốc dụ sử nhập khấu dĩ phục nhật lễ chi cừu
瓢路沛𣏺堯呆逆,bầu lọ phải khỏng kheo ngóc ngách
󰅹埃群底之添絆縫,nào ai còn để chi thêm bận bòng
九月令置平獄勘理官使决天下疑訟,"cửu nguyệt, lệnh trí bình ngục khám lí quan, sử quyết thiên hạ nghi tụng"
耕籍田於龍隊徵處士於象山󰱇用賢良創立𭓇校有帝王之大畧,"canh tịch điền ư long đội, trưng xử sĩ ư tượng sơn, tuyển dụng hiền lương, sáng lập học hiệu, hữu đế vương chi đại lược"
𠀧𡱩鎌𠬠部戎鞍,ba thước gươm một bộ nhung yên
斫󰠲𢪊翠𢺺鴛,chước đâu rẽ thuý chia uyên
詔經筵參議󰱑官翰林中書等官條上致旱之由,"chiếu kinh diên, tham nghị, đài quan, hàn lâm, trung thư, đẳng quan điều thượng trí hạn chi do"
雪霜停冷𣼰𣎀冬,tuyết sương đành lạnh lùng đêm đông
十八日時憲仕澈等破賊于安恬地方,"thập bát nhật, thì hiến, sĩ triệt đẳng phá tặc vu an điềm địa phương xã danh thuộc thiên lộc huyện"
兹後,tư hậu
固緣時𬲇迻船准馬當,có duyên thời gió đưa thuyền chốn mã đương
信腰𣅘𣌋蔑情立爫太子底停台󱠢,tin yêu khuya sớm một tình. lập làm thái tử để dành thay ngôi
其畧曰安南官僚士󰱃凣衣冠禮樂風俗百事一依本國舊例不須更改况髙麗國北遣使來請已下詔悉例此例除戒雲南边将不得𢫔興兵甲侵撂疆埸撓乱人民宴尔國官僚士,"kì lược viết an nam quan liêu sĩ thứ phàm y quan lễ lạc phong tục bách sự nhất y bản quốc cựu lệ, bất tu canh cải. huống cao li quốc bắc khiến sứ lai thỉnh, dĩ hạ chiếu tất lệ thử lệ. trừ giới vân nam biên tướng bất đắc chen hưng binh giáp, xâm lược cương dịch, nhiễu loạn nhân dân, yến nhĩ quốc quan liêu sĩ thứ các nghi an trị như cố. mạnh giáp đẳng vu thánh từ cung, khiến thông thị đại phu trần phụng công, chư vệ ký ban nguyễn thám, viên ngoại lang nguyễn diễn tê thư như nguyên thông hảo"
還西軍左都督黎舌聀,hoàn tây quân tả đô đốc lê thiệt chức
三月禁天下官民賭搏〇,"tam nguyệt, cấm thiên hạ quan dân đổ bác"
改左刑為清刑司郎中大夫右刑為慎刑司郎中大夫司刑爲明祥刑停審刑官並置郎中置醫司訓科等屬,cải tả hình vi thanh hình ti lang trung đại phu hữu hình vi thận hình ti lang trung đại phu ti hình vi minh tường hình đình thẩm hình quan tịnh trí lang trung trí y ti huấn khoa đẳng thuộc
肉机丐橽太𬚸,nhục cơ cái thớt thái thịt
南無色空,na mô sắc không
歆埋枉𠺥辱筭當,hôm mai uổng chịu nhọc toan đương
朱𠊛占榜春麻𧗱,cho người chiếm bảng xuân mà về
𠼦𠊛税󰖛逴娘,mượn người thuê kiệu rước nàng
拎徑塘連豸真坤提,linh kính đường trơn trại chân khôn dè
固爫之女丐𠇮補𠫾,có làm chi nữa cái mình bỏ đi
石橊荄韶榴𤽸,thạch lựu cây thừu lựu trắng
頭𢚸𠄩妸素娥翠翹󰑼姉㛪󰑼翠雲,"đầu lòng hai ả tố nga. thúy kiều là chị, em là thúy vân"
底傳碑𠰘刼󰅹𤷱,để truyền bia miệng kiếp nào mòn
襖戎𢭂官武自低,áo nhung trao quan vũ từ đâỵ
冬十月大閲水步軍於白鶴江浮沙,"đông thập nguyệt, đại duyệt thuỷ bộ quân ư bạch hạc giang phù sa"
味香盧玉𠖤賖,mùi hương lư ngọc bay xa
𤓢𩵜於󰮂丐筩,nướng cá ở trong cái thùng
䏾梗,nhặt thưa bóng cành
再頒例律改東都爲東京西都爲西京,tái ban lệ luật cải đông đô vi đông kinh tây đô vi tây kinh
一内外𬋩軍各衛門堂上長官宜從公詳審所該衛所等官間有疲劣如阮致堯杜有直杜公奭之類及闒茸鄙猥無才幹不堪任者閑住僃奏送吏部覈實或改簡任並劾致職者更󰱇曾經征戰有噐識幹事賈代除之,"nhất nội ngoại quản quân các vệ môn đường thượng trưởng quan, nghi tòng công tường thẩm sở cai vệ sở đẳng quan gian, hữu bì liệt như nguyễn trí nghiêu, đỗ hữu trực, đỗ công thích chi loại cập tháp nhung bỉ ổi, vô tài cán, bất kham nhiệm giả, nhàn chú, bị tấu tống lại bộ hạch thực hoặc cải giản nhiệm tịnh hặc trí chức giả cánh tuyển tằng kinh chinh chiến, hữu khí thức, cán sự giả đại trừ chi"
太尉阮有僚俘󰱐明智父子俱斬之,"thái uý nguyễn hữu liêu phù hoạch minh trí phụ tử, câu trảm chi"
是歲秦亡,thị tuế tần vong
都咹都於態凣,đua ăn đua ở thói phàm
莫使匡定公新郡公等督押四衛兵馬爲前隊先鋒西道營将為右翼兵馬南道營将為左翼兵馬東北二道營将為後隊兵馬,"mạc sử khuông định công, tân quận công đẳng đốc áp tứ vệ binh mã vi tiền đội tiên phong, tây đạo dinh tướng vi hữu dực binh mã, nam đạo dinh tướng vi tả dực binh mã, đông bắc nhị đạo dinh tướng vi hậu đội binh mã"
日月𤐝隊准現,"nhật nguyệt soi, đòi chốn hiện"
隨財録用,tuỳ tài lục dụng
元年,nguyên niên
各置宣撫司設宣撫同知副使僉事各一員聽都統使管轄差遣,"các trí tuyên phủ ti, thiết tuyên phủ đồng tri phó sứ thiêm sự các nhất viên, thính đô thống sứ quản hạt sai khiến"
云仙𦖑呐𠴡唭,vân tiên nghe nói miệng cười
上皇不許因求解兵柄不復出師,"thượng hoàng bất hứa, nhân cầu giải binh bính bất phục xuất sư"
額顙宁𪩱壙平意准上亭髙闊𫪹娄,ngạch tảng giữa trán rộng bình. ấy chốn thượng đình cao khoát trống sâu
於是又疏構新宅者參知東道黎定等以下至管領二十餘人奏之,"ư thị hựu sớ cấu tân trạch giả, tham tri đông đạo lê định đẳng dĩ hạ, chí quản lĩnh nhị thập dư nhân tấu chi"
稱帝受制盡恭饗禮甚厚日以珍奇之物庭實旅百示其富饒,"xưng, đế thụ chế tận cung, hưởng lễ thậm hậu, nhật dĩ chân kì chi vật đình thực lữ bách, thị kì phú nhiêu"
力能舉鼎拔山,lực năng cử đỉnh bạt sơn
旬𦝄鈌𥒦油耗𩈘𢠩想𩈘𢚸嗷喭𢚸,"tuần trăng khuyết đĩa dầu hao. mặt mơ tưởng mặt, lòng ngao ngán lòng"
帝乃與黎禮黎閙黎秘黎熾黎踏等潜棲山上,"đế nãi dữ lê lễ, lê náo, lê bí, nhất tác bí lê xí, lê đạp đẳng tiềm thê sơn thượng"
過亭㨳𥶄𥊛亭,qua đình cởi nón trông đình
壘,luỹ
老拱㐌𢜠台,lão cũng đã mừng thay
𪪳倅𠻆󰜏浪渚蒙之,ông tôi dặn bà rằng chớ mong chi
進士題名碑于太𭓇門,tiến sĩ đề danh bi vu thái học môn
󰋇倘盗刧殺仁檜銅鈙者𬌔身涅研,"mấy thằng trộm cướp sát nhân. cối đồng chày giã, tấm thân nát nghiền"
香󰠲馥馥𦊛皮花󰠲察察菭溪没園,hương đâu phức phức tư bề. hoa đâu sát sát đầy khê một vườn
𠯦𨖲󰬾㗂奇驚𢴿船撫扒󰭼𠇮英宗,thét lên ba tiếng cả kinh. chèo thuyền vỗ bắt lấy mình anh tông
石生,thạch sanh ở gốc đa
娘它𣎏色傾城,nàng đà có sắc khuynh thành
𢠣𢞂別󰋇曲挼,giận buồn biết mấy khúc nhôi
蜆𤙭𤷿,kiến bò nhọt
𨢟噔払喂味桂枝,cay đắng chàng ơi vị quế chi
及釋列囚復用蔡故也,cập thích liệt tù phục dụng thái cố dã
倐遭家禍莫覩成書,"thúc tao gia hoạ, mạc đổ thành thư"
畑碎辰𤍊頭𬕌茄碎,đèn tôi thì tỏ đầu giường nhà tôi
孟󰠲據帝𪮍埋英䧺,mạnh đâu cứ đấy múa may anh hùng
守度曰汝居卑職而䏻守法我有何言,"thủ độ viết nhữ cư ti chức nhi năng thủ pháp, ngã hữu hà ngôn"
妬埃󰣞特𡊰功两鐄,đố ai gỡ được đền công lạng vàng
搈𫳵朱轉󰕛𨉓時搈,rung sao cho chuyển chúng mình thời rung
𠰺廊溋𠇍士儒,dạy láng giềng mấy sĩ nho
占包魂梅𥊚𥇀,chiêm bao hồn mai mơ màng
拱𪰛坦翥拱𡗶𩂏燶𤆈爫之閉𪠠夏,"cũng thì đất chở, cũng trời che. nóng nảy làm chi bấy hỡi hè"
凣供辦婚姻禮物諸家如有賣買市上民間大小物貨宜随時價不得如前狃為頑態恬勢憑威抑買攘奪違者如前令治罪,"phàm cung biện hôn nhân lễ vật chư gia, như hữu mại mãi thị thượng dân gian, đại tiểu vật hoá nghi tuỳ thời giá, bất đắc như tiền nữu vi ngoan thái, thiệt thế bằng uy, ức mãi nhương đoạt, vi giả như tiền lệnh trị tội"
𡛔絲𦓡㐌語藝󰣑𡫡,gái tơ mà đã ngứa nghề sớm sao
孛某礼南体旦坦,bụt mới lạy năm thể đến đất
趂𢬣𨷑鎖洞桃𩄲󱔲𤑟𡓃𠓨,xắn tay mở khóa động đào
氷傾如醒如醝󰜋命,bâng khuâng như tỉnh như say một mình
宋人見其黨中有楊於者胷刺黑龍及蒲州首領五人知是我越人皆還之,tống nhân kiến kì đảng trung hữu dương ư giả hung thích hắc long cập bồ châu thủ lĩnh ngũ nhân tri thị ngã việt nhân giai hoàn chi
以婦人衣衣之,dĩ phụ nhân y y chi
命㹥密㝵咍説󰁏於,mình chó mặt người hay thốt u ơ
半𠇮奴沛尋塘救吒,bán mình nó phải tìm đường cứu cha
𠳐呈會主󰏙詳麻󰏙𥪞𢼂斷膓固󱙻,vâng trình hội chủ xem tường. mà xem trong sổ đoạn trường có tên
監𡅳客於𨕭𠁀,dám khuyên khách ở trên đời
何其博𭓇應事捷敏之速称嘆不已,"hà kì bác học, ứng sự tiệp mẫn chi tốc? xưng thán bất dĩ"
十二月六日早上皇假幸安生令殿後扈衛尋令祗候内人召帝謀國事,"thập nhị nguyệt, lục nhật, tảo, thượng hoàng giả hạnh yên sinh, lệnh điện hậu hộ vệ tầm lệnh chi hậu nội nhân triệu đế mưu quốc sự"
己亥二年元至正十九年春正月明遣使來通好,"kỉ hợi nhị niên, nguyên chí chính thập cửu niên, xuân chính nguyệt, minh khiến sứ lai thông hảo"
𦝄㙴群妬㧅㧅,trăng thềm còn đó trơ trơ
二十日仕林護王至青威縣青春舘,"nhị thập nhật, sĩ lâm hộ vương chí thanh oai huyện, thanh xuân quán"
不聽,bất thính
曲扇厥寄支制,khúc phiến quạt gẫy che chơi
立大内碑,lập đại nội bi
斧刀包管身殘,búa đao bao quản thân tàn
巨論薦其弟范泛及王可遵楊章韓子西阮崇阮書阮景真並有名德可用唯杜子滿為最,"cự luận tiến kì đệ phạm phiếm, cập vương khả tuân, dương chương, hàn tử tây, nguyễn sùng, nguyễn thư, nguyễn cảnh chân, tịnh hữu danh đức khả dụng, duy đỗ tử mãn vi tối"
壬子二十三年,nhâm tí nhị thập tam niên minh hoằng trị ngũ niên
節制鄭松嘉其言,tiết chế trịnh tùng gia kì ngôn
棹尾買掉各披提真捻買耒耒進連,trạo vĩ mái chèo gác phơi. đè chân nắm mái trồi trồi tiến lên
固廌審知虚實專主和議帝從之,"cố trãi thẩm tri hư thực, chuyên chủ hoà nghị đế tòng chi"
如娘𥙩孝爫貞,như nàng lấy hiếu làm trinh
䦕内諸将亦拒閉不出使人投書往來彼此言多不遜者,"quan nội chư tướng diệc cự bế bất xuất, sử nhân đầu thư vãng lai bỉ thử ngôn đa bất tốn giả"
劍𡃊朱媒䋦柴𢯦,gớm ghê cho mụ mối thày lay
而璉之忍心至殺其弟天倫滅矣其禍至於殞身以及其父𡸈不烈矣哉不然杜釋大恶何由而萌以符讖語也,"nhi liễn chi nhẫn tâm, chí sát kì đệ, thiên luân diệt hĩ, kì hoạ chí ư vẫn thân, dĩ cập kì phụ, khởi bất liệt hĩ tai bất nhiên đỗ thích đại ác, hà do nhi manh dĩ phù sấm ngữ dã?"
三月帝至自廣原,"tam nguyệt, đế chí tự quảng nguyên"
縁芇刁等庫庒赦,duyên nào đeo đẳng khó chăng tha
𨔍澄唐垞𠇕偽,lạ chừng đường sá bơ vơ
矣迻𦑃帖畧扲爫𥱬,hãy đưa canh thiếp trước cầm làm ghi
時衰用沛碎奸怪渃𢧚乱負主僣󱠢,"thời suy dùng phải tôi gian. quấy nước nên loàn, phụ chúa tiếm ngôi"
副将左都督黄義膠卒,phó tướng tả đô đốc hoàng nghĩa giao tốt
别𠓀過橋會,biết trước qua cầu hội
披𢴾𢷀𠯇㗂絲沉𠖤辣𤌋󰊄迻𢯦簾,"bẻ bai rủ rỉ tiếng tơ. trầm bay lạt khói, gió đưa lay rèm"
惜哉,tích tai
先帝擇人為姆師以奉内訓陛下嫚罵而不咱其不可二也,"tiên đế trạch nhân vi mẫu sư dĩ phụng nội huấn, bệ hạ mạn mạ nhi bất thính, kì bất khả nhị dã"
𨔍之声氣󰠋恒,lạ gì thanh khí nhẽ hằng
屍座号󰑼位亡附於神主蜍中祠堂,thi tọa hiệu là vị vong. phụ ở thần chủ thờ trong từ đường
德恭率子弟奔󰒂都,đức cung suất tử đệ bôn nghĩa đô
𣈜恪𣌋𧽈,ngày khác sớm dậy
乙巳十三年莫廣和三年〇,"ất tị thập tam niên, mạc quảng hoà tam niên"
別󰠲麻𠳚肝膓𠓨󰠲,biết đâu mà gửi can tràng vào đâu
是月初八日簡脩公瀠自西都𭛁水步諸營並進,"thị nguyệt, sơ bát nhật, giản tu công dinh tự tây đô phát thuỷ bộ chư dinh tịnh tiến"
木履蹅持堆菊旁,mộc lý đạp giày đôi guốc phẳng gan
傷牢朱院時傷併牢朱論每塘時𠳐,thương sao cho vẹn thì thương. tính sao cho trọn mọi đường thì vâng
本󰑼把恩呐,bốn là trả ơn nuốt của đắng
尚頼大臣文武百官明勗交脩輔成厥,"thượng lại đại thần văn võ bá quan minh úc giao tu phụ thành, quyết"
郎制㐌阻󰡲茹歇綠,làng chơi đã trở về nhà hết duyên
夢夢拯𥄭朋固,mòng mòng chẳng ngủ
賜杜珙進士及第杜直等三人進士出身阮壽椿等二十人同進士出身,tứ đỗ cung tiến sĩ cập đệ đỗ trực đẳng tam nhân tiến sĩ xuất thân nguyễn thọ xuân đẳng nhị thập nhân đồng tiến sĩ xuất thân
户終固几吏𫅷,họ chung có kẻ lại già
妥情餒伴𫯳闭,thoả tình nuôi bạn chồng bấy
󰖎駒蓓染㐌顛如霪,móng câu bụi nhuốm đã đen như dầm
功臣子孫竝得錄用,công thần tử tôn tịnh đắc lục dụng
約皮把恩明主,ước bề trả ơn minh chủ
菓𣛦𨇜󰮂𤽸外𩇢𦎛艚𤐝𤏣𩈘㛪𩈘払,quả đu đủ trong trắng ngoài xanh. gương tàu soi tỏ mặt em mặt chàng
遣楊太一修興道大王祠禁伐廟樹,"khiển dương thái nhất tu hưng đạo đại vương từ, cấm phạt miếu thụ"
悲除渚𤏣消耗,bây giờ chưa tỏ tiêu hao
其餘一一受俾協力輔佐,kì dư nhất nhất thụ tỉ hiệp lực phụ tá
後南帝之攻趙越王爲計得矣以王道覌之曾犬彘之不若也,"hậu nam đế chi công triệu việt vương vi kế đắc hĩ dĩ vương đạo quan chi, tằng khuyển trệ chi bất nhược dã"
使鎗打敎這󰝂運斧打越仍扲某枚,sử thương đánh giáo giơ đâm. vận phủ đánh việt những cầm múa may
辻核銅柱畧𡑝,mười cây đồng trụ trước sân
阮有勅望風而走黎仁厚且戦且却,"nguyễn hữu sắc vọng phong nhi tẩu, lê nhân hậu thả chiến thả khước"
𢚸𡗶群𨣤才花魁元停底旦科𨍦尼,lòng trời còn rấm tài hoa. khôi nguyên dành để đến khoa sau này
𫇳𬞑󱬐,chòm lốm đốm
元氣壮則治道隆,nguyên khí tráng tắc trị đạo long
𡢐恨為縁底𠳨𠵘,sau hận vì duyên để mỏi mòn
窖󰟁緣闭󰑼𠇮貝些,khéo vô duyên bấy là mình với ta
𣑶𠱋坤透㭲𢯦坤移,"rễ dò khôn thấu, gốc lay khôn dời"
𫄆㐌空錢坤卓𨢇園雖固菊渚󰝡花,"túi đã không tiền, khôn chác rượu. vườn tuy có cúc, chửa đơm hoa"
昆𤳇户馮𠸜羅𤽗仲逵,con trai họ phùng tên là ngươi trọng quỳ
主妑㐌固彷䝨牢頭隊𧖰𤷭連𡎥蔠,"chúa bà đã có bạn hiền. sao đầu đội máu, đít liền ngồi chông"
󰋇吝󰠮埬杄掑,mấy lần cửa đóng then cài
財非天雨力非神作𡸈非浚民之骨血歟浚民之骨血可謂修福歟創業之主躬,"tài phi thiên vũ, lực phi thần tác, há phi tuấn dân chi cốt huyết dư? tuấn dân chi cốt huyết khả vị tu phúc dư? sáng nghiệp chi chủ, cung"
󰮌當踈𧿯𠓨𦋦大堤,còn đang thơ thẩn vào ra đại đề
托子胡氏為身後計圖利而不顧義舍道而惟計功烏足為賢,"thác tử hồ thị vi thân hậu kế, đồ lợi nhi bất cố nghĩa, xá đạo nhi duy kế công ô túc vi hiền"
