ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
弄,toan,27,27,2,SYLLABLE,True,chống giộng loàn luồng lòng lóng lùng lọng lỏng lồng lổng lộng,23, 撰 散 櫲 狻 痠 祘 笇 筭 算 酸 鑽 䝜 𡀜 𢌺 𤷥 𥫫 𥮅 𨢽 𨣪,,201,,,syllable/stt2_page_0104_c05_099.png syllable/stt2_page_0214_c02_039.png syllable/stt2_page_0258_c03_056.png syllable/stt2_page_0296_c01_017.png syllable/stt2_page_0320_c09_160.png
尽,trời,26,23,2,SYLLABLE,True,hết tần tẩn tẫn tận,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,1,,,syllable/stt2_page_0216_c06_111.png syllable/stt11_page_0040_c02_036.png syllable/stt11_page_0044_c03_057.png syllable/stt11_page_0046_c05_060.png syllable/stt11_page_0052_c05_094.png
戈,cùng,26,20,1,SYLLABLE,True,nhung qua quá quơ quạ quờ sang ờ,44,供 共 其 塘 廾 弯 強 拱 拲 珙 穷 穹 窮 竆 藭 蛩 蛬 邛 䓖 䠻,,39,,,syllable/stt11_page_0128_c03_062.png syllable/stt11_page_0128_c04_071.png syllable/stt11_page_0132_c02_034.png syllable/stt11_page_0150_c01_016.png syllable/stt11_page_0164_c02_027.png
平,băng,25,24,3,SYLLABLE,True,biền bìn bình bường bằng bừng vàng,42,仌 冫 冰 凝 嘣 崩 弸 掤 斆 旁 水 氷 淜 漰 硼 絣 綳 繃 绷 蹦,,61,,,syllable/stt2_page_0012_c09_144.png syllable/stt2_page_0058_c05_108.png syllable/stt2_page_0058_c07_136.png syllable/stt2_page_0106_c05_089.png syllable/stt2_page_0126_c09_189.png
嘿,ra,25,23,3,SYLLABLE,True,hắc mắc mặc,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt2_page_0086_c01_007.png syllable/stt2_page_0208_c02_026.png syllable/stt4_page_0176_c01_019.png syllable/stt11_page_0014_c04_077.png syllable/stt11_page_0014_c05_086.png
庵,xuống,24,22,3,SYLLABLE,True,am ham hán im nghiễm om quảng xưởng êm ôm ươm,17, 下 笹 𠁑 𠖈 𡬈 𨑜 𪧍 𫳭 𫴋 𬕹 𬺗 󰞘 󰡎 󱚏 󱟫 󱪞,,3,,,syllable/stt2_page_0030_c09_180.png syllable/stt2_page_0046_c02_023.png syllable/stt2_page_0202_c02_025.png syllable/stt2_page_0202_c06_098.png syllable/stt2_page_0300_c04_063.png
祐,xem,24,20,2,SYLLABLE,True,hữu hựu,18, 佔 占 呫 姟 娂 瞻 袩 覘 貼 㡇 䀡 䄡 䦓 𤎥 𫀅 󰏙 󰠉,,0,,,syllable/stt2_page_0088_c03_043.png syllable/stt4_page_0012_c08_148.png syllable/stt4_page_0046_c02_041.png syllable/stt4_page_0046_c04_071.png syllable/stt4_page_0060_c01_012.png
氏,ấy,24,22,2,SYLLABLE,True,chi thi thì thị,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,1,,,syllable/stt2_page_0020_c08_162.png syllable/stt2_page_0280_c03_055.png syllable/stt2_page_0284_c04_072.png syllable/stt2_page_0288_c07_129.png syllable/stt2_page_0304_c08_148.png
罷,là,24,22,2,SYLLABLE,True,bãi bì bảy bấy bời bởi bỡi mệt pho phó,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,2,,,syllable/stt2_page_0014_c04_078.png syllable/stt2_page_0064_c07_122.png syllable/stt2_page_0066_c01_013.png syllable/stt2_page_0070_c02_024.png syllable/stt2_page_0074_c04_075.png
䆒,đem,23,21,3,SYLLABLE,True,cứu,28,   冘 剾 抌 眈 耽 躭 酖 鴆 𢲠 𨈔 𨈠 𨈦 𨈨 𨊍 𨊗 𨑴 𨑻,,0,,,syllable/stt2_page_0024_c09_183.png syllable/stt2_page_0064_c06_109.png syllable/stt2_page_0146_c01_002.png syllable/stt2_page_0230_c01_017.png syllable/stt2_page_0230_c07_133.png
遥,lạ,23,22,2,SYLLABLE,True,dao diêu dìu rao,29, 吕 呂 囉 異 罗 羅 莒 逻 邏 𡄀 𡆗 𡚎 𤳧 𤴏 𦋝 𦌴 𦍉 𨓐 𨔍,,0,,,syllable/stt2_page_0026_c04_071.png syllable/stt2_page_0080_c02_034.png syllable/stt2_page_0166_c06_105.png syllable/stt2_page_0180_c07_123.png syllable/stt2_page_0196_c06_080.png
丸,đem,22,21,3,SYLLABLE,True,giúp hoàn hòm hòn up xóp xắp,28,   冘 剾 抌 眈 耽 躭 酖 鴆 𢲠 𨈔 𨈠 𨈦 𨈨 𨊍 𨊗 𨑴 𨑻,,3,,,syllable/stt2_page_0042_c01_012.png syllable/stt2_page_0092_c08_180.png syllable/stt2_page_0152_c05_088.png syllable/stt2_page_0240_c03_053.png syllable/stt4_page_0022_c03_051.png
裔,trời,22,16,2,SYLLABLE,True,duệ,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt2_page_0234_c08_142.png syllable/stt2_page_0242_c04_062.png syllable/stt2_page_0246_c03_041.png syllable/stt2_page_0248_c07_113.png syllable/stt2_page_0252_c01_015.png
愈,trời,22,20,1,SYLLABLE,True,du dù dú dũ dẫu dỗ dụ gió giỗ nhũ rũ rủ,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,9,,,syllable/stt4_page_0016_c01_004.png syllable/stt4_page_0040_c08_153.png syllable/stt4_page_0042_c02_036.png syllable/stt4_page_0058_c09_177.png syllable/stt4_page_0096_c05_108.png
厅,đức,22,17,1,SYLLABLE,True,sảnh thinh thính,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,syllable/stt11_page_0014_c07_131.png syllable/stt11_page_0016_c09_192.png syllable/stt11_page_0020_c04_080.png syllable/stt11_page_0020_c08_173.png syllable/stt11_page_0034_c03_058.png
罟,là,22,21,3,SYLLABLE,True,cổ,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt2_page_0014_c09_199.png syllable/stt2_page_0028_c05_099.png syllable/stt2_page_0050_c08_170.png syllable/stt2_page_0056_c02_036.png syllable/stt2_page_0066_c02_024.png
祠,vua,21,14,2,SYLLABLE,True,thờ tờ từ tự,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,0,,,syllable/stt2_page_0232_c01_000.png syllable/stt4_page_0024_c09_176.png syllable/stt4_page_0068_c05_115.png syllable/stt4_page_0070_c08_156.png syllable/stt4_page_0086_c02_024.png
八,ấy,21,21,2,SYLLABLE,True,bát bét bít bắt bịt bớt cửu quĩ quỹ xốc,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt2_page_0236_c06_111.png syllable/stt2_page_0244_c04_063.png syllable/stt2_page_0256_c05_090.png syllable/stt2_page_0278_c07_124.png syllable/stt2_page_0284_c05_090.png
团,bấy,21,21,3,SYLLABLE,True,đoàn,34,卑 悲 曊 碑 罢 罷 貝 買 閇 閈 閉 闭 䠋 𠇍 𠐌 𠾚 𡭼 𡮁 𤰞 𥓓,,0,,,syllable/stt2_page_0022_c07_140.png syllable/stt2_page_0100_c08_127.png syllable/stt2_page_0234_c02_021.png syllable/stt2_page_0324_c05_091.png syllable/stt4_page_0294_c07_146.png
置,mới,20,19,2,SYLLABLE,True,trí,23,𱺵 厶 另 埋 某 梅 皮 蛽 貝 買 賀 㵋 𠇍 𡤓 𡤔 𧵽 𪚾 𪦲 𬔫 󰋇,,0,,,syllable/stt2_page_0030_c05_108.png syllable/stt2_page_0076_c05_092.png syllable/stt2_page_0138_c04_077.png syllable/stt2_page_0184_c03_040.png syllable/stt2_page_0294_c01_006.png
末,mát,20,14,3,SYLLABLE,True,mượt mạt mất mắc mắt mặt mết mệt,5,沫 𠖾 𧉿 𩗂 𫖼,,285,,,syllable/stt2_page_0146_c05_071.png syllable/stt2_page_0146_c09_162.png syllable/stt2_page_0260_c09_159.png syllable/stt2_page_0262_c01_002.png syllable/stt2_page_0262_c04_072.png
林,lem,20,20,3,SYLLABLE,True,lim lom lum lâm lùm lăm lầm lắm rầm rậm rằm trăm,10,廉 淋 溓 濓 痳 霖 𥋲 𩱬 󰯡 󱠩,,36,,,syllable/stt2_page_0028_c07_151.png syllable/stt2_page_0030_c02_044.png syllable/stt2_page_0124_c01_001.png syllable/stt2_page_0126_c08_158.png syllable/stt2_page_0128_c08_169.png
國,có,20,18,2,SYLLABLE,True,cuốc hoắc hoặc nước quốc vi ốc,15,世 个 個 古 同 固 堵 故 杏 沛 窖 箇 者 𣎏 󰡏,,2,,,syllable/stt4_page_0052_c04_066.png syllable/stt4_page_0054_c04_072.png syllable/stt4_page_0058_c08_160.png syllable/stt4_page_0060_c01_011.png syllable/stt4_page_0076_c04_068.png
厕,trời,20,17,1,SYLLABLE,True,sí trắc xí,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt4_page_0014_c04_073.png syllable/stt4_page_0018_c02_024.png syllable/stt4_page_0024_c05_090.png syllable/stt4_page_0032_c04_064.png syllable/stt4_page_0090_c02_027.png
詩,thì,19,18,2,SYLLABLE,True,thi thơ tơ,56,𱢑 匙 埘 塒 寺 峕 常 提 时 旹 時 晨 曟 榯 氏 畤 秲 茄 莳 蒔,時 蒔,0,,,syllable/stt2_page_0026_c04_085.png syllable/stt2_page_0036_c07_120.png syllable/stt2_page_0054_c03_054.png syllable/stt2_page_0058_c04_075.png syllable/stt2_page_0088_c03_053.png
噐,là,19,18,2,SYLLABLE,True,khí,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,3,,,syllable/stt2_page_0282_c08_157.png syllable/stt4_page_0016_c05_106.png syllable/stt4_page_0038_c01_010.png syllable/stt4_page_0062_c05_098.png syllable/stt4_page_0072_c05_062.png
重,trong,19,19,3,SYLLABLE,True,chung chuồng chuộng chòng chõng chùng chồng giọng nặng thụng tròng trùng,52,  中 仲 共 冲 塚 宫 宮 工 沖 滝 珕 瑇 番 盅 祌 衝 鐧 龍,盅,262,,,syllable/stt2_page_0022_c07_139.png syllable/stt2_page_0060_c05_107.png syllable/stt2_page_0086_c03_049.png syllable/stt2_page_0166_c03_055.png syllable/stt2_page_0198_c06_096.png
哈,hai,18,15,3,SYLLABLE,True,cáp cóp cụp ha hà hát hét hít hóp hết họp hộp,18, 侼 台 咍 怡 檯 瓵 臺 邰 颱 鮐 㣍 𠄩 𠄽 𠘭 𡐬 𪱜 󰀘,,1,,,syllable/stt2_page_0068_c01_006.png syllable/stt2_page_0078_c07_138.png syllable/stt2_page_0108_c04_072.png syllable/stt2_page_0108_c06_092.png syllable/stt2_page_0108_c08_125.png
从,ấy,18,15,1,SYLLABLE,True,thung tung tòng tùng túng tụng,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt11_page_0026_c05_088.png syllable/stt11_page_0028_c01_011.png syllable/stt11_page_0028_c06_124.png syllable/stt11_page_0030_c03_054.png syllable/stt11_page_0030_c06_111.png
嚶,ra,18,17,2,SYLLABLE,True,anh inh,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt2_page_0330_c09_151.png syllable/stt11_page_0018_c09_160.png syllable/stt11_page_0036_c06_103.png syllable/stt11_page_0044_c08_139.png syllable/stt11_page_0048_c05_086.png
庒,chắng,18,18,2,SYLLABLE,True,chan chang chăng chẳng da dưa dặng giằng trang đồ,1,𪭽,,341,,,syllable/stt2_page_0326_c07_127.png syllable/stt11_page_0022_c03_051.png syllable/stt11_page_0050_c04_072.png syllable/stt11_page_0052_c03_055.png syllable/stt11_page_0106_c09_178.png
莒,đầy,17,15,2,SYLLABLE,True,cử lạ lữ rữa,16,台 提 柴 箈 苔 菭 薹 䈚 𠫅 𠫆 𣹓 𧀟 𨃐 𪞅 󰐗 󰮙,,0,,,syllable/stt2_page_0276_c01_008.png syllable/stt11_page_0040_c09_201.png syllable/stt11_page_0062_c06_120.png syllable/stt11_page_0066_c09_172.png syllable/stt11_page_0068_c03_054.png
乔,trời,17,16,2,SYLLABLE,True,kiều,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt2_page_0246_c07_120.png syllable/stt2_page_0260_c07_126.png syllable/stt2_page_0306_c07_122.png syllable/stt11_page_0060_c06_110.png syllable/stt11_page_0066_c09_190.png
該,coi,17,16,2,SYLLABLE,True,cai cơi,11,佔 占 嵬 瑰 貼 䁛 𥋳 𩲡 𫀅 𫀢 󰏤,,28,,,syllable/stt2_page_0028_c07_139.png syllable/stt2_page_0052_c01_019.png syllable/stt2_page_0054_c02_026.png syllable/stt2_page_0056_c01_010.png syllable/stt2_page_0122_c09_189.png
勿,đức,17,14,1,SYLLABLE,True,vất vẩn vẫn vật vắt vặt vớt,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,syllable/stt11_page_0086_c04_062.png syllable/stt11_page_0142_c05_101.png syllable/stt11_page_0144_c07_135.png syllable/stt11_page_0150_c05_102.png syllable/stt11_page_0164_c05_081.png
對,cả,17,16,2,SYLLABLE,True,dối nhói rối tối tụi đói đôi đối đổi đỗi,11,仍 哿 垰 奇 架 竒 𠵲 𪥘 󱝝 󱝮 󱼓,,1,,,syllable/stt4_page_0014_c04_086.png syllable/stt4_page_0030_c09_186.png syllable/stt4_page_0030_c09_189.png syllable/stt4_page_0034_c01_014.png syllable/stt4_page_0100_c04_069.png
芒,là,16,16,2,SYLLABLE,True,man mang mong màng máng mãng măng mưng mường vong,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt2_page_0052_c08_157.png syllable/stt2_page_0060_c04_079.png syllable/stt2_page_0076_c06_125.png syllable/stt2_page_0078_c04_068.png syllable/stt2_page_0082_c04_079.png
切,chém,16,15,3,SYLLABLE,True,siết thiếc thiết thét thướt thế thớt xiết,22,剣 剱 劍 劎 劒 劔 占 呫 斬 釰 釼 鉆 鐱 㓠 𠛤 𠝏 𠠆 𡃍 𪟂 𫥸,,1,,,syllable/stt2_page_0170_c04_066.png syllable/stt2_page_0204_c08_137.png syllable/stt2_page_0330_c04_066.png syllable/stt2_page_0330_c04_076.png syllable/stt4_page_0084_c02_026.png
結,đi,16,14,1,SYLLABLE,True,chắc cứt ghét hết kiết két kít kế kết yết,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,41,,,syllable/stt2_page_0020_c04_081.png syllable/stt2_page_0022_c02_026.png syllable/stt2_page_0024_c09_189.png syllable/stt2_page_0030_c02_039.png syllable/stt2_page_0052_c01_002.png
馬,vì,16,15,2,SYLLABLE,True,mã mả mở mỡ mứa mựa ngựa,7,位 為 爲 𠸠 𡸏 𦥮 󰩄,,6,,,syllable/stt2_page_0030_c06_130.png syllable/stt2_page_0052_c06_112.png syllable/stt2_page_0074_c08_166.png syllable/stt2_page_0074_c09_182.png syllable/stt2_page_0076_c06_106.png
𫝄,ấy,16,15,1,SYLLABLE,False,,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt11_page_0022_c08_167.png syllable/stt11_page_0024_c07_141.png syllable/stt11_page_0054_c07_150.png syllable/stt11_page_0060_c01_001.png syllable/stt11_page_0068_c09_178.png
受,một,15,14,2,SYLLABLE,True,chịu thâu thò thọ thụ,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,1,,,syllable/stt4_page_0062_c01_009.png syllable/stt4_page_0062_c05_102.png syllable/stt4_page_0080_c09_192.png syllable/stt4_page_0084_c01_020.png syllable/stt4_page_0086_c01_020.png
三,đến,15,13,1,SYLLABLE,True,ba khươm sam sâm tam tham tám tạm,21,且 但 倎 典 彣 敟 旦 細 蛋 貝 㫜 䓦 𠔓 𠔩 𠔰 𢻅 𣅂 𥮏 𦤾 𦥃,,1,,,syllable/stt4_page_0030_c02_028.png syllable/stt4_page_0042_c08_169.png syllable/stt4_page_0078_c04_075.png syllable/stt4_page_0100_c04_075.png syllable/stt4_page_0166_c01_018.png
心,làm,15,13,3,SYLLABLE,True,thân tim tâm tăm tấm,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,8,,,syllable/stt2_page_0118_c09_188.png syllable/stt4_page_0020_c09_190.png syllable/stt4_page_0022_c04_081.png syllable/stt4_page_0022_c05_100.png syllable/stt4_page_0034_c03_062.png
戞,một,15,14,2,SYLLABLE,True,at dạt giát giạt giắt kiết kít kết nhác nhát rát vui,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,syllable/stt2_page_0028_c07_140.png syllable/stt2_page_0090_c04_069.png syllable/stt2_page_0150_c02_031.png syllable/stt2_page_0150_c04_082.png syllable/stt11_page_0156_c08_171.png
居,nước,15,14,3,SYLLABLE,True,cư cứ cừ khờ khừ ky kí ký,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,,0,,,syllable/stt2_page_0046_c06_122.png syllable/stt2_page_0086_c01_012.png syllable/stt2_page_0316_c09_137.png syllable/stt2_page_0320_c08_138.png syllable/stt4_page_0020_c09_187.png
戛,một,15,15,2,SYLLABLE,True,at cất cắt giáp giát gật gặt kiết két kít nhác nhát,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,syllable/stt2_page_0096_c09_187.png syllable/stt2_page_0158_c04_066.png syllable/stt2_page_0200_c06_109.png syllable/stt2_page_0274_c05_094.png syllable/stt2_page_0278_c01_002.png
解,năm,15,15,2,SYLLABLE,True,cởi dải giái giãi giải giới nghĩa sõi ái ãi ải ới,19, 南 年 朩 璏 秊 䄭 𠄼 𠡦 𠦅 𠦚 𠫺 𠬋 𢆥 𦼌 𫡵 𫧣 𫷜 󱙌,,0,,,syllable/stt2_page_0088_c07_137.png syllable/stt2_page_0102_c05_091.png syllable/stt2_page_0106_c03_035.png syllable/stt2_page_0140_c02_030.png syllable/stt2_page_0158_c03_051.png
姨,mẹ,15,14,3,SYLLABLE,True,chị di dì gì,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,syllable/stt2_page_0044_c06_127.png syllable/stt2_page_0100_c07_112.png syllable/stt2_page_0184_c09_157.png syllable/stt2_page_0198_c05_077.png syllable/stt2_page_0270_c03_046.png
被,xem,15,15,3,SYLLABLE,True,bí bệ bị bỡ bợ bự phi,18, 佔 占 呫 姟 娂 瞻 袩 覘 貼 㡇 䀡 䄡 䦓 𤎥 𫀅 󰏙 󰠉,,0,,,syllable/stt2_page_0048_c04_053.png syllable/stt2_page_0050_c04_085.png syllable/stt2_page_0266_c06_105.png syllable/stt4_page_0014_c05_115.png syllable/stt4_page_0092_c02_030.png
娱,mẹ,15,13,2,SYLLABLE,True,ngu ngô,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,syllable/stt2_page_0312_c02_031.png syllable/stt11_page_0104_c04_062.png syllable/stt11_page_0126_c07_119.png syllable/stt11_page_0134_c07_137.png syllable/stt11_page_0138_c03_053.png
罕,ra,15,15,3,SYLLABLE,True,han hãn hẩng hắn hẳn,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt2_page_0122_c03_049.png syllable/stt2_page_0218_c09_132.png syllable/stt2_page_0262_c06_116.png syllable/stt4_page_0036_c01_014.png syllable/stt4_page_0038_c06_116.png
煜,lửa,14,14,3,SYLLABLE,True,duật dục dực,8, 𱪵 呂 帞 火 焒 󰌎 󰌕,,0,,,syllable/stt2_page_0070_c09_155.png syllable/stt2_page_0176_c09_153.png syllable/stt2_page_0192_c04_066.png syllable/stt2_page_0200_c07_120.png syllable/stt2_page_0248_c05_085.png
丑,cùng,14,13,2,SYLLABLE,True,giấu sấu sửu xú xấu ấu,44,供 共 其 塘 廾 弯 強 拱 拲 珙 穷 穹 窮 竆 藭 蛩 蛬 邛 䓖 䠻,,41,,,syllable/stt2_page_0022_c09_178.png syllable/stt4_page_0016_c03_054.png syllable/stt4_page_0016_c08_172.png syllable/stt4_page_0018_c07_124.png syllable/stt4_page_0022_c07_156.png
为,làm,14,12,3,SYLLABLE,True,vi vy vị,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,0,,,syllable/stt2_page_0112_c07_132.png syllable/stt2_page_0280_c03_046.png syllable/stt2_page_0304_c06_115.png syllable/stt2_page_0306_c09_168.png syllable/stt4_page_0022_c09_199.png
肉,lời,14,12,2,SYLLABLE,True,ngoạt nguyệt nhúc nhụ nhục nậu,27,例 俐 分 利 吝 唎 坘 塁 痢 行 調 𠅜 𠇮 𠜫 𠳐 𠳒 𡗶 𢈱 𢚸 𥒥,,0,,,syllable/stt2_page_0270_c09_195.png syllable/stt11_page_0020_c04_079.png syllable/stt11_page_0020_c06_121.png syllable/stt11_page_0068_c03_047.png syllable/stt11_page_0152_c07_136.png
宅,là,14,14,1,SYLLABLE,True,chạch dác dạc trạch đo đác đù đạc đọ đồ độ đợ,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt4_page_0030_c08_172.png syllable/stt4_page_0084_c07_143.png syllable/stt4_page_0088_c03_037.png syllable/stt4_page_0100_c01_006.png syllable/stt4_page_0124_c07_143.png
咽,nói,14,12,2,SYLLABLE,True,nhiết nhân nhăng nhắc nhắt nhằn nhốt yên yến yết yểm ân,14,內 内 叻 吶 呐 唁 尼 曰 訥 㐻 㕯 𠺶 𡗠 𧨣,,0,,,syllable/stt2_page_0024_c05_098.png syllable/stt2_page_0024_c07_145.png syllable/stt2_page_0328_c04_073.png syllable/stt11_page_0036_c04_062.png syllable/stt11_page_0044_c01_006.png
渚,chó,14,13,3,SYLLABLE,True,cho chã chú chơi chưa chả chớ chở chứ chứa chử chửa,10,匵 犬 犭 犮 犾 㹜 㹥 𤝹 𤠚 𦢞,,81,,,syllable/stt2_page_0022_c01_020.png syllable/stt2_page_0024_c05_093.png syllable/stt2_page_0116_c01_004.png syllable/stt2_page_0244_c08_153.png syllable/stt2_page_0254_c07_109.png
斥,trời,14,14,1,SYLLABLE,True,sệch xích xếch xệch xịch,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt11_page_0066_c04_083.png syllable/stt11_page_0118_c04_082.png syllable/stt11_page_0134_c03_053.png syllable/stt11_page_0140_c02_042.png syllable/stt11_page_0146_c02_031.png
廩,lăm,14,14,2,SYLLABLE,True,bám bấm bẩm bẳm bặm bụm lúm lũm lẩm lẫm lắm rắm,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,25,,,syllable/stt2_page_0040_c03_044.png syllable/stt4_page_0066_c03_057.png syllable/stt4_page_0084_c02_029.png syllable/stt4_page_0112_c05_095.png syllable/stt4_page_0176_c01_014.png
燔,soi,13,12,2,SYLLABLE,True,phiền phàn phần phừng,19,搊 擂 攂 洡 芁 雷 㵢 䣂 𢐝 𢬗 𢹮 𢺢 𤐝 𥋸 𪤠 𬧾 󰅈 󱈗 󱧽,,0,,,syllable/stt2_page_0028_c08_162.png syllable/stt2_page_0030_c09_187.png syllable/stt2_page_0032_c07_138.png syllable/stt2_page_0174_c04_068.png syllable/stt2_page_0174_c04_075.png
噀,ra,13,11,2,SYLLABLE,True,lún rón rốn sún tuyển tốn tổn,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt2_page_0246_c08_156.png syllable/stt2_page_0252_c07_100.png syllable/stt2_page_0260_c08_137.png syllable/stt2_page_0282_c03_057.png syllable/stt2_page_0282_c04_077.png
舞,sau,13,13,2,SYLLABLE,True,múa vũ vỗ vụ,37,嗟 娄 婁 差 搂 楼 牢 畧 畱 瘥 窂 罒 荖 蹉 䁟 𡕘 𡘠 𡢐 𢀞 𢀠,,0,,,syllable/stt2_page_0048_c08_148.png syllable/stt2_page_0062_c06_125.png syllable/stt2_page_0072_c04_065.png syllable/stt2_page_0108_c08_139.png syllable/stt2_page_0158_c06_100.png
采,thầy,13,11,1,SYLLABLE,True,biện giẻ rằn thái thải thể,8,  偨 柴 祡 茈 賴 𪪀,,0,,,syllable/stt4_page_0032_c03_042.png syllable/stt4_page_0058_c04_073.png syllable/stt4_page_0090_c02_031.png syllable/stt4_page_0090_c07_132.png syllable/stt4_page_0116_c06_123.png
竣,đi,13,12,1,SYLLABLE,True,thoan thuyên thuân thò tuấn,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,0,,,syllable/stt11_page_0036_c08_158.png syllable/stt11_page_0096_c01_000.png syllable/stt11_page_0100_c03_041.png syllable/stt11_page_0112_c08_161.png syllable/stt11_page_0158_c01_003.png
𠇭,mình,13,11,1,SYLLABLE,False,,12,命 明 春 珄 舍 𠇮 𠵴 𨉓 𨉟 󰇕 󰳁 󱝬,,0,,,syllable/stt2_page_0016_c02_026.png syllable/stt2_page_0016_c03_060.png syllable/stt2_page_0018_c05_089.png syllable/stt2_page_0020_c02_031.png syllable/stt2_page_0044_c02_025.png
案,và,12,11,2,SYLLABLE,True,an oán yên án,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,0,,,syllable/stt2_page_0112_c03_058.png syllable/stt2_page_0130_c03_064.png syllable/stt2_page_0130_c09_186.png syllable/stt2_page_0136_c07_125.png syllable/stt2_page_0140_c06_095.png
等,thì,12,10,1,SYLLABLE,True,đấng đẳng đẵng đứng,56,𱢑 匙 埘 塒 寺 峕 常 提 时 旹 時 晨 曟 榯 氏 畤 秲 茄 莳 蒔,寺,2,,,syllable/stt4_page_0090_c03_056.png syllable/stt4_page_0092_c02_032.png syllable/stt4_page_0092_c03_051.png syllable/stt4_page_0104_c08_164.png syllable/stt4_page_0150_c06_117.png
