ヌ	U+30CC
肜	U+809C
肝	U+809D
股	U+80A1
肢	U+80A2
胋	U+80CB
胎	U+80CE
胒	U+80D2
胣	U+80E3
胳	U+80F3
胺	U+80FA
胾	U+80FE
脀	U+8100
脩	U+8129
脽	U+813D
腇	U+8147
腹	U+8179
膱	U+81B1
臺	U+81FA
臿	U+81FF
與	U+8207
航	U+822A
般	U+822C
艰	U+8270
艱	U+8271
艻	U+827B
艿	U+827F
芀	U+8280
芃	U+8283
芇	U+8287
芟	U+829F
芣	U+82A3
芩	U+82A9
芭	U+82AD
芮	U+82AE
芶	U+82B6
芻	U+82BB
芾	U+82BE
芿	U+82BF
苈	U+82C8
苓	U+82D3
苔	U+82D4
苜	U+82DC
苩	U+82E9
苵	U+82F5
茂	U+8302
范	U+8303
茄	U+8304
茅	U+8305
茇	U+8307
茈	U+8308
茤	U+8324
茧	U+8327
茲	U+8332
茵	U+8335
荃	U+8343
荑	U+8351
荖	U+8356
荘	U+8358
荚	U+835A
荟	U+835F
荣	U+8363
荳	U+8373
莊	U+838A
莒	U+8392
莜	U+839C
莟	U+839F
莲	U+83B2
莳	U+83B3
莾	U+83BE
菅	U+83C5
菇	U+83C7
菞	U+83DE
菫	U+83EB
菭	U+83ED
菻	U+83FB
萉	U+8409
萝	U+841D
萧	U+8427
萭	U+842D
萮	U+842E
萳	U+8433
葌	U+844C
葑	U+8451
著	U+8457
葩	U+8469
葱	U+8471
葵	U+8475
葽	U+847D
蒔	U+8494
蒙	U+8499
蒭	U+84AD
蒴	U+84B4
蓊	U+84CA
蓨	U+84E8
蓬	U+84EC
蓮	U+84EE
蓿	U+84FF
蔑	U+8511
蔞	U+851E
蔥	U+8525
蔴	U+8534
蕑	U+8551
蕛	U+855B
蕪	U+856A
蕳	U+8573
薱	U+85B1
薹	U+85B9
藈	U+85C8
藍	U+85CD
藜	U+85DC
藣	U+85E3
藭	U+85ED
蘇	U+8607
蘓	U+8613
蘿	U+863F
虛	U+865B
虬	U+866C
虯	U+866F
虷	U+8677
虽	U+867D
蚅	U+8685
蚛	U+869B
蚪	U+86AA
蚴	U+86B4
蛄	U+86C4
蛋	U+86CB
蛣	U+86E3
蛦	U+86E6
蛩	U+86E9
蛫	U+86EB
蛬	U+86EC
蛽	U+86FD
蜆	U+8706
蜱	U+8731
蝮	U+876E
螉	U+8789
蟙	U+87D9
蟨	U+87E8
衛	U+885B
衝	U+885D
衞	U+885E
衣	U+8863
衤	U+8864
补	U+8865
袄	U+8884
袏	U+888F
袙	U+8899
袝	U+889D
袡	U+88A1
袢	U+88A2
袤	U+88A4
袨	U+88A8
袩	U+88A9
袪	U+88AA
袳	U+88B3
袼	U+88BC
補	U+88DC
裢	U+88E2
褔	U+8914
襇	U+8947
襕	U+8955
襧	U+8967
襬	U+896C
西	U+897F
覆	U+8986
覘	U+8998
覶	U+89B6
覼	U+89BC
觔	U+89D4
觕	U+89D5
觖	U+89D6
觤	U+89E4
觫	U+89EB
觭	U+89ED
訔	U+8A14
訢	U+8A22
訴	U+8A34
訾	U+8A3E
試	U+8A66
詭	U+8A6D
誒	U+8A92
誠	U+8AA0
調	U+8ABF
諆	U+8AC6
請	U+8ACB
諢	U+8AE2
諫	U+8AEB
諵	U+8AF5
諸	U+8AF8
謀	U+8B00
謏	U+8B0F
謖	U+8B16
讑	U+8B91
讓	U+8B93
讙	U+8B99
讛	U+8B9B
讦	U+8BA6
讲	U+8BB2
访	U+8BBF
诡	U+8BE1
诨	U+8BE8
诶	U+8BF6
诽	U+8BFD
谌	U+8C0C
谕	U+8C15
豚	U+8C5A
貝	U+8C9D
貫	U+8CAB
貯	U+8CAF
貰	U+8CB0
貲	U+8CB2
買	U+8CB7
貼	U+8CBC
賀	U+8CC0
賒	U+8CD2
賖	U+8CD6
賬	U+8CEC
賴	U+8CF4
败	U+8D25
贾	U+8D3E
跐	U+8DD0
跢	U+8DE2
跪	U+8DEA
踦	U+8E26
蹉	U+8E49
蹺	U+8E7A
躚	U+8E9A
躨	U+8EA8
躭	U+8EAD
躲	U+8EB2
躺	U+8EBA
軄	U+8EC4
車	U+8ECA
軒	U+8ED2
輹	U+8F39
輻	U+8F3B
轱	U+8F71
辐	U+8F90
辞	U+8F9E
辠	U+8FA0
辰	U+8FB0
辸	U+8FB8
辺	U+8FBA
辻	U+8FBB
过	U+8FC7
迈	U+8FC8
迍	U+8FCD
近	U+8FD1
迣	U+8FE3
迤	U+8FE4
迸	U+8FF8
迺	U+8FFA
迻	U+8FFB
逄	U+9004
逆	U+9006
逐	U+9010
逕	U+9015
逞	U+901E
速	U+901F
連	U+9023
逦	U+9026
逰	U+9030
進	U+9032
逵	U+9035
逻	U+903B
運	U+904B
遏	U+904F
遒	U+9052
達	U+9054
違	U+9055
遘	U+9058
遼	U+907C
避	U+907F
邁	U+9081
還	U+9084
邋	U+908B
邏	U+908F
邓	U+9093
邛	U+909B
那	U+90A3
邩	U+90A9
邰	U+90B0
邳	U+90B3
邵	U+90B5
邺	U+90BA
鄈	U+9108
鄴	U+9134
酖	U+9156
酘	U+9158
酸	U+9178
醊	U+918A
釉	U+91C9
里	U+91CC
重	U+91CD
釜	U+91DC
釪	U+91EA
釿	U+91FF
鉎	U+924E
鉻	U+927B
銃	U+9283
銏	U+928F
銨	U+92A8
鎂	U+9382
鎙	U+9399
鏕	U+93D5
鏖	U+93D6
鐧	U+9427
鑐	U+9450
鑽	U+947D
钍	U+948D
钚	U+949A
铬	U+94EC
铵	U+94F5
锖	U+9516
锝	U+951D
锼	U+953C
镸	U+9578
閇	U+9587
閈	U+9588
閉	U+9589
閎	U+958E
閒	U+9592
間	U+9593
閙	U+9599
閟	U+959F
閣	U+95A3
閤	U+95A4
閥	U+95A5
閦	U+95A6
閩	U+95A9
閲	U+95B2
閹	U+95B9
閽	U+95BD
闊	U+95CA
闌	U+95CC
闍	U+95CD
闒	U+95D2
闘	U+95D8
闭	U+95ED
间	U+95F4
闷	U+95F7
闹	U+95F9
阁	U+9601
阧	U+9627
陀	U+9640
陂	U+9642
陞	U+965E
陼	U+967C
陾	U+967E
隃	U+9683
隋	U+968B
隗	U+9697
雉	U+96C9
雙	U+96D9
離	U+96E2
雪	U+96EA
雴	U+96F4
電	U+96FB
需	U+9700
霈	U+9708
鞌	U+978C
鞍	U+978D
韌	U+97CC
韱	U+97F1
須	U+9808
頗	U+9817
頭	U+982D
頯	U+982F
頷	U+9837
顐	U+9850
顶	U+9876
顷	U+9877
须	U+987B
顾	U+987E
颇	U+9887
颱	U+98B1
餅	U+9905
餒	U+9912
餕	U+9915
餘	U+9918
餛	U+991B
餟	U+991F
餧	U+9927
餫	U+992B
饈	U+9948
饕	U+9955
饸	U+9978
馄	U+9984
馆	U+9986
馐	U+9990
馗	U+9997
駆	U+99C6
駑	U+99D1
駘	U+99D8
駡	U+99E1
騏	U+9A0F
騤	U+9A24
騩	U+9A29
驷	U+9A77
驽	U+9A7D
骊	U+9A8A
骎	U+9A8E
骙	U+9A99
骨	U+9AA8
骰	U+9AB0
骾	U+9ABE
高	U+9AD8
髮	U+9AEE
鬏	U+9B0F
鬜	U+9B1C
鬧	U+9B27
鬼	U+9B3C
魂	U+9B42
魄	U+9B44
魑	U+9B51
鮐	U+9B90
鮟	U+9B9F
鮨	U+9BA8
鮮	U+9BAE
鴆	U+9D06
鴺	U+9D3A
鵜	U+9D5C
鶲	U+9DB2
鹂	U+9E42
麀	U+9E80
麦	U+9EA6
麰	U+9EB0
麻	U+9EBB
黍	U+9ECD
黎	U+9ECE
黒	U+9ED2
默	U+9ED8
黝	U+9EDD
點	U+9EDE
黟	U+9EDF
黧	U+9EE7
鼠	U+9F20
鼡	U+9F21
鼪	U+9F2A
鼲	U+9F32
齜	U+9F5C
龇	U+9F87
龍	U+9F8D
龔	U+9F94
呂	U+F980
秊	U+F995
𠀄	U+20004
𠀫	U+2002B
𠀹	U+20039
𠁈	U+20048
𠁉	U+20049
𠁑	U+20051
𠁦	U+20066
𠂎	U+2008E
𠂫	U+200AB
𠃳	U+200F3
𠄧	U+20127
𠄩	U+20129
𠄵	U+20135
𠄶	U+20136
𠄼	U+2013C
𠄽	U+2013D
𠅁	U+20141
𠅈	U+20148
𠅜	U+2015C
𠆴	U+201B4
𠇍	U+201CD
𠇰	U+201F0
𠈳	U+20233
𠉞	U+2025E
𠊚	U+2029A
𠊛	U+2029B
𠋣	U+202E3
𠏙	U+203D9
𠐌	U+2040C
𠑶	U+20476
𠒥	U+204A5
𠓺	U+204FA
𠔏	U+2050F
𠔓	U+20513
𠔩	U+20529
𠔭	U+2052D
𠔰	U+20530
𠕄	U+20544
𠕷	U+20577
𠖈	U+20588
𠖨	U+205A8
𠘨	U+20628
𠘩	U+20629
𠘭	U+2062D
𠚢	U+206A2
𠜆	U+20706
𠡦	U+20866
𠤩	U+20929
𠤵	U+20935
𠥱	U+20971
𠥾	U+2097E
𠦅	U+20985
𠦓	U+20993
𠦚	U+2099A
𠦩	U+209A9
𠦳	U+209B3
𠧣	U+209E3
𠫅	U+20AC5
𠫆	U+20AC6
𠫎	U+20ACE
𠫬	U+20AEC
𠫺	U+20AFA
𠫾	U+20AFE
𠬃	U+20B03
𠬋	U+20B0B
𠬕	U+20B15
𠬖	U+20B16
𠬛	U+20B1B
𠬠	U+20B20
𠬸	U+20B38
𠭁	U+20B41
𠮥	U+20BA5
𠮦	U+20BA6
𠯆	U+20BC6
𠯇	U+20BC7
𠯹	U+20BF9
𠯻	U+20BFB
𠯿	U+20BFF
𠰷	U+20C37
𠰹	U+20C39
𠱩	U+20C69
𠱭	U+20C6D
𠱰	U+20C70
𠱾	U+20C7E
𠲢	U+20CA2
𠲥	U+20CA5
𠳒	U+20CD2
𠳹	U+20CF9
𠴓	U+20D13
𠵂	U+20D42
𠵲	U+20D72
𠶋	U+20D8B
𠶍	U+20D8D
𠶷	U+20DB7
𠸄	U+20E04
𠸗	U+20E17
𠸙	U+20E19
𠸠	U+20E20
𠸢	U+20E22
𠹱	U+20E71
𠹾	U+20E7E
𠺌	U+20E8C
𠺘	U+20E98
𠺞	U+20E9E
𠺥	U+20EA5
𠺳	U+20EB3
𠺹	U+20EB9
𠺼	U+20EBC
𠻗	U+20ED7
𠻤	U+20EE4
𠼞	U+20F1E
𠼪	U+20F2A
𠼯	U+20F2F
𠼱	U+20F31
𠽉	U+20F49
𠽑	U+20F51
𠽖	U+20F56
𠽬	U+20F6C
𠾔	U+20F94
𠾚	U+20F9A
𠾣	U+20FA3
𠾦	U+20FA6
𠾸	U+20FB8
𠾿	U+20FBF
𠿒	U+20FD2
𠿿	U+20FFF
𡀍	U+2100D
𡀐	U+21010
𡀜	U+2101C
𡀲	U+21032
𡀽	U+2103D
𡁁	U+21041
𡂃	U+21083
𡂄	U+21084
𡂳	U+210B3
𡃊	U+210CA
𡃑	U+210D1
𡃛	U+210DB
𡄀	U+21100
𡄰	U+21130
𡅳	U+21173
𡆗	U+21197
𡆫	U+211AB
𡈚	U+2121A
𡈡	U+21221
𡈭	U+2122D
𡉄	U+21244
𡉎	U+2124E
𡊨	U+212A8
𡌀	U+21300
𡌿	U+2133F
𡍴	U+21374
𡍺	U+2137A
𡎜	U+2139C
𡐬	U+2142C
𡑓	U+21453
𡑺	U+2147A
𡒀	U+21480
𡔅	U+21505
𡔈	U+21508
𡔌	U+2150C
𡕘	U+21558
𡖵	U+215B5
𡗅	U+215C5
𡗚	U+215DA
𡗶	U+215F6
𡘠	U+21620
𡚎	U+2168E
𡚦	U+216A6
𡚴	U+216B4
𡝃	U+21743
𡝕	U+21755
𡞕	U+21795
𡟔	U+217D4
𡢐	U+21890
𡤓	U+21913
𡤔	U+21914
𡥎	U+2194E
𡥞	U+2195E
𡥵	U+21975
𡦂	U+21982
𡦠	U+219A0
𡨌	U+21A0C
𡨧	U+21A27
𡨸	U+21A38
𡨹	U+21A39
𡬈	U+21B08
𡭒	U+21B52
𡭜	U+21B5C
𡭼	U+21B7C
𡮁	U+21B81
𡮆	U+21B86
𡮉	U+21B89
𡮬	U+21BAC
𡮮	U+21BAE
𡰱	U+21C31
𡲌	U+21C8C
𡴬	U+21D2C
𡶀	U+21D80
𡸏	U+21E0F
𡸝	U+21E1D
𡺈	U+21E88
𡺞	U+21E9E
𡻕	U+21ED5
𡻷	U+21EF7
𢀞	U+2201E
𢀠	U+22020
𢀯	U+2202F
𢀰	U+22030
𢁨	U+22068
𢂂	U+22082
𢂜	U+2209C
𢃊	U+220CA
𢄁	U+22101
𢄘	U+22118
𢆌	U+2218C
𢆥	U+221A5
𢆫	U+221AB
𢇼	U+221FC
𢈈	U+22208
𢌬	U+2232C
𢌺	U+2233A
𢏡	U+223E1
𢒏	U+2248F
𢒕	U+22495
𢓑	U+224D1
𢔨	U+22528
𢔶	U+22536
𢖱	U+225B1
𢗆	U+225C6
𢚸	U+226B8
𢛳	U+226F3
𢜏	U+2270F
𢜖	U+22716
𢜠	U+22720
𢝆	U+22746
𢝘	U+22758
𢝾	U+2277E
𢠀	U+22800
𢠩	U+22829
𢠿	U+2283F
𢡃	U+22843
𢤊	U+2290A
𢧁	U+229C1
𢧚	U+229DA
𢧡	U+229E1
𢧩	U+229E9
𢩿	U+22A7F
𢪄	U+22A84
𢪏	U+22A8F
𢪙	U+22A99
𢪠	U+22AA0
𢫨	U+22AE8
𢫫	U+22AEB
𢫶	U+22AF6
𢫹	U+22AF9
𢬪	U+22B2A
𢭗	U+22B57
𢭩	U+22B69
𢮠	U+22BA0
𢮭	U+22BAD
𢯓	U+22BD3
𢯠	U+22BE0
𢯬	U+22BEC
𢰛	U+22C1B
𢰳	U+22C33
𢱏	U+22C4F
𢱭	U+22C6D
𢲠	U+22CA0
𢲦	U+22CA6
𢳀	U+22CC0
𢳎	U+22CCE
𢴜	U+22D1C
𢴽	U+22D3D
𢴾	U+22D3E
𢵉	U+22D49
𢵮	U+22D6E
𢵯	U+22D6F
𢷣	U+22DE3
𢷮	U+22DEE
𢸮	U+22E2E
𢺌	U+22E8C
𢺺	U+22EBA
𢻅	U+22EC5
𢻬	U+22EEC
𢻲	U+22EF2
𢼹	U+22F39
𢽼	U+22F7C
𣀟	U+2301F
𣁔	U+23054
𣂠	U+230A0
𣅂	U+23142
𣅱	U+23171
𣆠	U+231A0
𣆻	U+231BB
𣇅	U+231C5
𣇯	U+231EF
𣇱	U+231F1
𣇶	U+231F6
𣈔	U+23214
𣈗	U+23217
𣈘	U+23218
𣈜	U+2321C
𣋐	U+232D0
𣋥	U+232E5
𣍊	U+2334A
𣍮	U+2336E
𣎀	U+23380
𣎃	U+23383
𣎏	U+2338F
𣐆	U+23406
𣑻	U+2347B
𣓞	U+234DE
𣔒	U+23512
𣔟	U+2351F
𣖀	U+23580
𣘓	U+23613
𣚽	U+236BD
𣣔	U+238D4
𣥍	U+2394D
𣥧	U+23967
𣥪	U+2396A
𣦁	U+23981
𣦂	U+23982
𣦍	U+2398D
𣦮	U+239AE
𣨛	U+23A1B
𣩂	U+23A42
𣪌	U+23A8C
𣭙	U+23B59
𣱽	U+23C7D
𣳮	U+23CEE
𣴙	U+23D19
𣴛	U+23D1B
𣷠	U+23DE0
𣷯	U+23DEF
𣸜	U+23E1C
𣹓	U+23E53
𣹞	U+23E5E
𣻕	U+23ED5
𣼝	U+23F1D
𣽤	U+23F64
𣽦	U+23F66
𤁋	U+2404B
𤂂	U+24082
𤂬	U+240AC
𤃹	U+240F9
𤇚	U+241DA
𤊢	U+242A2
𤊣	U+242A3
𤌋	U+2430B
𤍄	U+24344
𤍊	U+2434A
𤎔	U+24394
𤎥	U+243A5
𤎸	U+243B8
𤏣	U+243E3
𤑟	U+2445F
𤑽	U+2447D
𤔈	U+24508
𤔹	U+24539
𤗆	U+245C6
𤙫	U+2466B
𤙭	U+2466D
𤙰	U+24670
𤛀	U+246C0
𤜠	U+24720
𤟂	U+247C2
𤟋	U+247CB
𤤰	U+24930
𤥭	U+2496D
𤦨	U+249A8
𤪈	U+24A88
𤯓	U+24BD3
𤯛	U+24BDB
𤯨	U+24BE8
𤯩	U+24BE9
𤰞	U+24C1E
𤱲	U+24C72
𤳧	U+24CE7
𤴏	U+24D0F
𤴬	U+24D2C
𤵪	U+24D6A
𤶎	U+24D8E
𤶏	U+24D8F
𤷥	U+24DE5
𤷲	U+24DF2
𤸭	U+24E2D
𤹔	U+24E54
𤽗	U+24F57
𤾐	U+24F90
𤾓	U+24F93
𤿰	U+24FF0
𥁚	U+2505A
𥁞	U+2505E
𥃝	U+250DD
𥃞	U+250DE
𥅶	U+25176
𥇹	U+251F9
𥉮	U+2526E
𥊽	U+252BD
𥋳	U+252F3
𥒅	U+25485
𥒥	U+254A5
𥓓	U+254D3
𥗾	U+255FE
𥘀	U+25600
𥘉	U+25609
𥘋	U+2560B
𥘑	U+25611
𥘖	U+25616
𥘨	U+25628
𥘪	U+2562A
𥘲	U+25632
𥘵	U+25635
𥘷	U+25637
𥙩	U+25669
𥙷	U+25677
𥛜	U+256DC
𥞞	U+2579E
𥟋	U+257CB
𥟖	U+257D6
𥟵	U+257F5
𥠧	U+25827
𥠻	U+2583B
𥡓	U+25853
𥡖	U+25856
𥡚	U+2585A
𥡞	U+2585E
𥡳	U+25873
𥡴	U+25874
𥢀	U+25880
𥣔	U+258D4
𥣦	U+258E6
𥩳	U+25A73
𥫫	U+25AEB
𥮅	U+25B85
𥮏	U+25B8F
𥯏	U+25BCF
𥯨	U+25BE8
𥱯	U+25C6F
𥸨	U+25E28
𥹞	U+25E5E
𥹠	U+25E60
𥹪	U+25E6A
𥹾	U+25E7E
𥻕	U+25ED5
𥼱	U+25F31
𥼾	U+25F3E
𥾒	U+25F92
𥾘	U+25F98
𥿗	U+25FD7
𥿮	U+25FEE
𦀂	U+26002
𦀗	U+26017
𦁋	U+2604B
𦁓	U+26053
𦁢	U+26062
𦁿	U+2607F
𦃎	U+260CE
𦆹	U+261B9
𦉱	U+26271
𦉼	U+2627C
𦋛	U+262DB
𦋝	U+262DD
𦋦	U+262E6
𦋻	U+262FB
𦋼	U+262FC
𦌋	U+2630B
𦌴	U+26334
𦍉	U+26349
𦒹	U+264B9
𦓡	U+264E1
𦙚	U+2665A
𦙴	U+26674
𦙼	U+2667C
𦚚	U+2669A
𦚿	U+266BF
𦛅	U+266C5
𦛹	U+266F9
𦛿	U+266FF
𦠋	U+2680B
𦡠	U+26860
𦤖	U+26916
𦤾	U+2693E
𦥃	U+26943
𦥮	U+2696E
𦨜	U+26A1C
𦬝	U+26B1D
𦯔	U+26BD4
𦱹	U+26C79
𦲬	U+26CAC
𦲿	U+26CBF
𦴋	U+26D0B
𦴙	U+26D19
𦵘	U+26D58
𦺙	U+26E99
𦼌	U+26F0C
𧀟	U+2701F
𧋻	U+272FB
𧍉	U+27349
𧍋	U+2734B
𧏷	U+273F7
𧖰	U+275B0
𧖱	U+275B1
𧗁	U+275C1
𧗱	U+275F1
𧘇	U+27607
𧘸	U+27638
𧚠	U+276A0
𧝎	U+2774E
𧟡	U+277E1
𧟽	U+277FD
𧡊	U+2784A
𧣊	U+278CA
𧦓	U+27993
𧦡	U+279A1
𧩔	U+27A54
𧩯	U+27A6F
𧪜	U+27A9C
𧫋	U+27ACB
𧭷	U+27B77
𧲟	U+27C9F
𧴫	U+27D2B
𧴹	U+27D39
𧵆	U+27D46
𧵑	U+27D51
𧵽	U+27D7D
𧶚	U+27D9A
𧶮	U+27DAE
𨀑	U+28011
𨀕	U+28015
𨃐	U+280D0
𨄻	U+2813B
𨅮	U+2816E
𨈔	U+28214
𨈠	U+28220
𨈦	U+28226
𨈨	U+28228
𨊍	U+2828D
𨊗	U+28297
𨑑	U+28451
𨑗	U+28457
𨑜	U+2845C
𨑮	U+2846E
𨑴	U+28474
𨑻	U+2847B
𨒒	U+28492
𨓐	U+284D0
𨔉	U+28509
𨔍	U+2850D
𨕭	U+2856D
𨖲	U+285B2
𨗌	U+285CC
𨗤	U+285E4
𨙗	U+28657
𨙚	U+2865A
𨛫	U+286EB
𨝟	U+2875F
𨠁	U+28801
𨢕	U+28895
𨢽	U+288BD
𨣪	U+288EA
𨤣	U+28923
𨤼	U+2893C
𨨦	U+28A26
𨫪	U+28AEA
𨳒	U+28CD2
𨶂	U+28D82
𨷯	U+28DEF
𨾫	U+28FAB
𩀌	U+2900C
𩀳	U+29033
𩂏	U+2908F
𩂐	U+29090
𩄑	U+29111
𩅚	U+2915A
𩇿	U+291FF
𩑼	U+2947C
𩔚	U+2951A
𩛂	U+296C2
𩛘	U+296D8
𩜱	U+29731
𩝺	U+2977A
𩞀	U+29780
𩟼	U+297FC
𩠜	U+2981C
𩠥	U+29825
𩠦	U+29826
𩠨	U+29828
𩣑	U+298D1
𩤸	U+29938
𩧍	U+299CD
𩩇	U+29A47
𩩖	U+29A56
𩫛	U+29ADB
𩲚	U+29C9A
𩲡	U+29CA1
𩵽	U+29D7D
𩽾	U+29F7E
𪀐	U+2A010
𪁇	U+2A047
𪂔	U+2A094
𪂯	U+2A0AF
𪄦	U+2A126
𪅆	U+2A146
𪅨	U+2A168
𪊴	U+2A2B4
𪏭	U+2A3ED
𪘵	U+2A635
𪚾	U+2A6BE
𪜀	U+2A700
𪜚	U+2A71A
𪞅	U+2A785
𪞷	U+2A7B7
𪟤	U+2A7E4
𪠗	U+2A817
𪠞	U+2A81E
𪡔	U+2A854
𪡗	U+2A857
𪢣	U+2A8A3
𪥘	U+2A958
𪥯	U+2A96F
𪦲	U+2A9B2
𪧍	U+2A9CD
𪨅	U+2AA05
𪪀	U+2AA80
𪪳	U+2AAB3
𪬫	U+2AB2B
𪰛	U+2AC1B
𪱚	U+2AC5A
𪱜	U+2AC5C
𪵯	U+2AD6F
𪻟	U+2AEDF
𪼀	U+2AF00
𪽗	U+2AF57
𪽡	U+2AF61
𪾋	U+2AF8B
𪿸	U+2AFF8
𫀅	U+2B005
𫀢	U+2B022
𫈅	U+2B205
𫋶	U+2B2F6
𫔳	U+2B533
𫜵	U+2B735
𫡭	U+2B86D
𫡵	U+2B875
𫢚	U+2B89A
𫢩	U+2B8A9
𫤡	U+2B921
𫥧	U+2B967
𫥨	U+2B968
𫧣	U+2B9E3
𫧧	U+2B9E7
𫪹	U+2BAB9
𫭔	U+2BB54
𫮇	U+2BB87
𫯝	U+2BBDD
𫳭	U+2BCED
𫴋	U+2BD0B
𫴮	U+2BD2E
𫴾	U+2BD3E
𫵈	U+2BD48
𫶸	U+2BDB8
𫶾	U+2BDBE
𫷜	U+2BDDC
𫸬	U+2BE2C
𫺲	U+2BEB2
𬀦	U+2C026
𬁜	U+2C05C
𬃴	U+2C0F4
𬈋	U+2C20B
𬈰	U+2C230
𬎷	U+2C3B7
𬏓	U+2C3D3
𬏝	U+2C3DD
𬔫	U+2C52B
𬕹	U+2C579
𬙞	U+2C65E
𬛠	U+2C6E0
𬠬	U+2C82C
𬨠	U+2CA20
𬨺	U+2CA3A
𬩍	U+2CA4D
𬮤	U+2CBA4
𬯜	U+2CBDC
𬴑	U+2CD11
𬺗	U+2CE97
𭉏	U+2D24F
𭲖	U+2DC96
𮌱	U+2E331
𮤭	U+2E92D
𰑚	U+3045A
𱍸	U+31378
𱍺	U+3137A
𱐍	U+3140D
𱐩	U+31429
𱐬	U+3142C
𱐭	U+3142D
𱑕	U+31455
𱙘	U+31658
𱜂	U+31702
𱜢	U+31722
𱝮	U+3176E
𱠎	U+3180E
𱢑	U+31891
𱥺	U+3197A
𱴸	U+31D38
𱸳	U+31E33
𱺵	U+31EB5
𱽇	U+31F47
󰀎	U+F000E
󰀘	U+F0018
󰁂	U+F0042
󰁐	U+F0050
󰁯	U+F006F
󰁰	U+F0070
󰁳	U+F0073
󰃃	U+F00C3
󰄜	U+F011C
󰄞	U+F011E
󰅎	U+F014E
󰅏	U+F014F
󰆄	U+F0184
󰆙	U+F0199
󰋇	U+F02C7
󰌑	U+F0311
󰎰	U+F03B0
󰏙	U+F03D9
󰏤	U+F03E4
󰏲	U+F03F2
󰐗	U+F0417
󰑔	U+F0454
󰓁	U+F04C1
󰓟	U+F04DF
󰔝	U+F051D
󰖢	U+F05A2
󰛺	U+F06FA
󰝎	U+F074E
󰞘	U+F0798
󰟔	U+F07D4
󰠃	U+F0803
󰠉	U+F0809
󰠠	U+F0820
󰠱	U+F0831
󰡎	U+F084E
󰡏	U+F084F
󰡲	U+F0872
󰣳	U+F08F3
󰥎	U+F094E
󰧙	U+F09D9
󰩄	U+F0A44
󰪀	U+F0A80
󰬨	U+F0B28
󰭖	U+F0B56
󰭻	U+F0B7B
󰮏	U+F0B8F
󰮙	U+F0B99
󰯯	U+F0BEF
󰳋	U+F0CCB
󰵄	U+F0D44
󱉎	U+F124E
󱉿	U+F127F
󱊨	U+F12A8
󱏥	U+F13E5
󱓽	U+F14FD
󱘆	U+F1606
󱘌	U+F160C
󱙌	U+F164C
󱙢	U+F1662
󱙣	U+F1663
󱚈	U+F1688
󱚏	U+F168F
󱛝	U+F16DD
󱜜	U+F171C
󱝂	U+F1742
󱝙	U+F1759
󱝝	U+F175D
󱝮	U+F176E
󱝱	U+F1771
󱞥	U+F17A5
󱞿	U+F17BF
󱟎	U+F17CE
󱟏	U+F17CF
󱟫	U+F17EB
󱟻	U+F17FB
󱟼	U+F17FC
󱣎	U+F18CE
󱤤	U+F1924
󱤱	U+F1931
󱦏	U+F198F
󱦞	U+F199E
󱦟	U+F199F
󱧔	U+F19D4
󱧡	U+F19E1
󱨱	U+F1A31
󱪏	U+F1A8F
󱪞	U+F1A9E
󱫱	U+F1AF1
󱬀	U+F1B00
󱮅	U+F1B85
󱯄	U+F1BC4
󱰐	U+F1C10
󱰕	U+F1C15
󱰷	U+F1C37
󱰹	U+F1C39
󱳇	U+F1CC7
󱳶	U+F1CF6
󱴀	U+F1D00
󱸗	U+F1E17
󱸞	U+F1E1E
󱸟	U+F1E1F
󱸡	U+F1E21
󱼑	U+F1F11
󱼓	U+F1F13
