id_lop,uu_tien,nguon,book,syllable,ma_da_so,u_da_so,ma_thieu_so,u_thieu_so,n_da_so,n_thieu_so,n_da_so_moi_tier,n_thieu_so_moi_tier,e3_verdict,e3_nB,e3_knn,e3_hog,e3_look,e3_M,e3_L,hog_bacc_v3,tn_look,da_so_trong_R,thieu_so_trong_R,R_am,nhan_khac_cung_sach,sach_khac,cs_ket_luan,cs_sua_thanh,cs_ung_vien,cs_so_dong,da_co_yaml_id
L062_stt2_mình_547d_201ee,3,TN,stt2,mình,命,U+547D,𠇮,U+201EE,133,6,133,6,,,,,,,,0.5,True,True,True,命明春珄舍𠇮𠵴𨉓𨉟󰇕󰳁󱝬,,stt4: 命 179 / 𠇮 0; stt11: 命 95 / 𠇮 11,,,,,
L063_stt2_tôi_788e_7815,3,TN,stt2,tôi,碎,U+788E,砕,U+7815,190,6,190,6,,,,,,,,0.5,True,True,True,倅晬淬焠熣的睟砕碎㳃𠗚𣅢𤏣𤭢𪝬𫇈𫬮,,stt4: 碎 191 / 砕 1; stt11: 碎 110 / 砕 6,,,,,
L064_stt4_câu_67b8_62d8,3,TN,stt4,câu,枸,U+67B8,拘,U+62D8,9,6,9,6,,,,,,,,0.72,True,True,True,仇佝俱倶具冓勹勾包句呴够夠怐抅拘挶搆朐构枸沟泃港溝痀篝簼絇緱缑萭蚼褠跔軥鈎鉤钩閹阄雊鞲韝駒驕驹鬮鴝鸜鼩齁㡚㣘㳰䰗𠚸𠛎𠯶𡖜𢳉𤖮𥟭𥯿𥱏𥲙𥵡𦃪𧛥𨪋𨵜𨷺𩰘𩾛𩿩𪀊𪁖𪖏𪖙󰙃󰵟佨,句:3,stt2: 枸 2 / 拘 2; stt11: 枸 4 / 拘 17,,,,,
L065_stt4_có_56fa_540c,3,CS+TN,stt4,có,固,U+56FA,同,U+540C,190,6,190,6,,,,,,,,0.5,True,True,True,世个個古同固堵故杏沛窖箇者𣎏󰡏,個:4,stt2: 固 274 / 同 0; stt11: 固 330 / 同 2,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,固,固(795),8,
L066_stt4_cả_54ff_7ad2,3,CS+TN,stt4,cả,哿,U+54FF,竒,U+7AD2,7,6,7,6,,,,,,,,0.29,False,True,True,仍哿垰奇架竒𠵲𪥘󱝝󱝮󱼓,奇:6,stt2: 哿 13 / 竒 3; stt11: 哿 11 / 竒 14,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,哿,哿(31),25,
L067_stt4_liệt_70c8_5217,3,TN,stt4,liệt,烈,U+70C8,列,U+5217,11,6,11,6,,,,,,,,0.41,True,True,True,例冽列劣咧哷埒寽戾捋捩栵洌烈烮煭脟茢蛚裂趔迾颲鴷䴕𠗗𠗢𠛱𠜊𠜺𢖬𢚃𣶄𣸟𤈘𤉩𤋴𤍅𤎁𤎾𧙩𧙷𧚲𧛯𧛵𨾸𩷈𬏩,,stt2: 烈 3 / 列 10; stt11: 烈 0 / 列 14,,,,,
L068_stt4_tuổi_6b72_6b73,3,TN,stt4,tuổi,歲,U+6B72,歳,U+6B73,9,6,9,6,,,,,,,,0.44,True,True,True,亗嵗歲歳碎㒸㞸𡻕𡻷𢆫𢧁𢧡𣦮󰆄󰑔󰣳󱤱󱦞󱦟,𡻕:1,stt2: 歲 5 / 歳 6; stt11: 歲 2 / 歳 1,,,,,
L069_stt4_tô_7a4c_9165,3,TN,stt4,tô,穌,U+7A4C,酥,U+9165,11,6,11,6,,,,,,,,0.73,True,True,True,囌甦祖租稣穌芇苏苴蒩蘇蘓酥鯂䲆𤯳𥗹𥠙𦢦𦣑𨢭𨣺𫰅,蘇:1,stt2: 穌 7 / 酥 0; stt11: 穌 25 / 酥 0,,,,,
L070_stt11_càng_5f3a_5f37,3,TN,stt11,càng,强,U+5F3A,強,U+5F37,22,5,22,5,,,,,,,,0.5,True,True,True,乾亘岡強强彊犟綱𢏟𣚦𥆁𧈧𧖑𪨈𫋙𮜓󱢥,,stt2: 强 18 / 強 14; stt4: 强 9 / 強 7,,,,,
L071_stt2_lành_51b7_4ee4,3,TN,stt2,lành,冷,U+51B7,令,U+4EE4,22,5,22,5,,,,,,,,0.5,True,True,True,令伶冷姈忴怜汵聆肑苓蓮袊䕘𠘤𠸖𡅐𡅑𫅜𫅞𬙽󰃬,苓:3,stt4: 冷 37 / 令 3; stt11: 冷 39 / 令 3,,,,,
L072_stt2_lắm_51dc_51db,3,TN,stt2,lắm,凜,U+51DC,凛,U+51DB,21,5,21,5,,,,,,,,0.5,True,True,True,凛凜夦廩廪林澟禀稟贑㐭𡀫𡗋𢈺𢊣𢊬𢊸𢋏𢋕𤯑𥜘𥠌𪥀𪩦󰖎󰡌󱚒󱞴󱨫󱪖,廪:17,stt4: 凜 24 / 凛 2; stt11: 凜 69 / 凛 2,,,,,
L073_stt2_rừng_7a1c_68f1,3,CS+TN,stt2,rừng,稜,U+7A1C,棱,U+68F1,10,5,10,5,,,,,,,,0.45,True,True,True,棱楞楼稜𡹃𡼹𤗷󱺅澄,楼:3,stt4: 稜 1 / 棱 10; stt11: 稜 1 / 棱 4,G. ÂM LỆCH – NÊN XEM LẠI,,,21,
L074_stt2_tuổi_6b73_6b72,3,TN,stt2,tuổi,歳,U+6B73,歲,U+6B72,6,5,6,5,,,,,,,,0.43,True,True,True,亗嵗歲歳碎㒸㞸𡻕𡻷𢆫𢧁𢧡𣦮󰆄󰑔󰣳󱤱󱦞󱦟,𡻕:1,stt4: 歳 6 / 歲 9; stt11: 歳 1 / 歲 2,,,,,
L075_stt4_khăn_5dfe_4e2d,3,CS+TN,stt4,khăn,巾,U+5DFE,中,U+4E2D,8,5,8,5,,,,,,,,0.47,True,True,True,中巾斤看䘜𫋵𫩒󰛷󱏻󱼋,,stt2: 巾 8 / 中 15; stt11: 巾 4 / 中 6,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,巾,巾(20),29,
L076_stt4_là_7f85_53f7,3,CS+TN,stt4,là,羅,U+7F85,号,U+53F7,6,5,6,5,,,,,,,,0.37,False,True,True,𱺵卥号囉容廾時浪纙罗羅買邏㼈𢌬𦉼𦋝𦌴𦲿𨔍𪜀𪡔𫥨𬗢󰀳󰐥󰑼󱜐󱧭,容:1,stt2: 羅 2 / 号 0; stt11: 羅 2 / 号 0,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,𪜀,𪜀(3),10,
L077_stt4_mô_6a21_6478,3,TN,stt4,mô,模,U+6A21,摸,U+6478,22,5,22,5,,,,,,,,0.5,True,True,True,呒呣唔嘸嚒墓嫫尛幕庅抚摸摹撫无桙模橅橆母毛無獏糢膜蕪蟆蟇謨謩譕谟貘饃饝馍麼麽㷻䗫䯢𠑶𠘩𠻚𡆶𡘲𡙻𡭚𡭯𡮡𢜯𢸆𣑨𣚨𣝶𣞣𣞤𣟒𣠮𤀢𤍍𤏠𤹳𥽓𥽨𦟦𩟠󰀡漠,獏:1,stt2: 模 5 / 摸 1; stt11: 模 6 / 摸 0,,,,,
L078_stt4_nói_5450_5185,3,TN,stt4,nói,呐,U+5450,内,U+5185,41,5,41,5,,,,,,,,0.5,True,True,True,內内叻吶呐唁尼曰訥㐻㕯𠺶𡗠𧨣,㐻:3 吶:1,stt2: 呐 27 / 内 19; stt11: 呐 16 / 内 7,,,,,
L079_stt4_sa_6c99_6284,3,TN,stt4,sa,沙,U+6C99,抄,U+6284,7,5,7,5,,,,,,,,0.43,True,True,True,ヌ剎娑差扠抄挱挲桫桬楂沙潭猀痧砂紇紗纱耶艸莎莏裟蹉車魦鯊鯋鲨𠋝𡋷𢘿𢬰𣲓𣲡𣴷𤵌𦀛𦀟𦹈𨇏𩥙𩵮𩺳𪌮𪍬𬇭奢磋艖,,stt2: 沙 24 / 抄 0; stt11: 沙 36 / 抄 0,,,,,
L080_stt11_câu_62d8_67b8,3,TN,stt11,câu,拘,U+62D8,枸,U+67B8,17,4,17,4,,,,,,,,0.5,True,True,True,仇佝俱倶具冓勹勾包句呴够夠怐抅拘挶搆朐构枸沟泃港溝痀篝簼絇緱缑萭蚼褠跔軥鈎鉤钩閹阄雊鞲韝駒驕驹鬮鴝鸜鼩齁㡚㣘㳰䰗𠚸𠛎𠯶𡖜𢳉𤖮𥟭𥯿𥱏𥲙𥵡𦃪𧛥𨪋𨵜𨷺𩰘𩾛𩿩𪀊𪁖𪖏𪖙󰙃󰵟佨,勾:3,stt2: 拘 2 / 枸 2; stt4: 拘 6 / 枸 9,,,,,
L081_stt11_dối_5bfe_5bf9,3,TN,stt11,dối,対,U+5BFE,对,U+5BF9,9,4,9,4,,,,,,,,0.5,True,True,True,咄噲嚉对対對肁𠱤𠲝𡓃𡭊𢇉𫴬,,stt2: 対 6 / 对 2; stt4: 対 4 / 对 4,,,,,
L082_stt11_khăn_4e2d_5dfe,3,TN,stt11,khăn,中,U+4E2D,巾,U+5DFE,6,4,6,4,,,,,,,,1.0,True,True,True,中巾斤看䘜𫋵𫩒󰛷󱏻󱼋,,stt2: 中 15 / 巾 8; stt4: 中 5 / 巾 8,,,,,
L083_stt11_ma_9b54_9ebb,3,TN,stt11,ma,魔,U+9B54,麻,U+9EBB,9,4,9,4,,,,,,,,0.5,True,True,True,么吗嗎嘛嚒嚜妈媽嫫嬤嬷孖尛庅摩擵攠痲痳磨菻蔴藦蘑靡饝馍駡髍魔麻麼麽㕰䁲䃺䯢𡣥𡭚𡭯𡮡𢉳𢣾𢳀𤹳𥖤𥗂𥗘𦇑𦲬𧀋𪎚𬍄劘厤礳耱蚂螞,,stt2: 魔 7 / 麻 11; stt4: 魔 5 / 麻 1,,,,,
L084_stt11_tra_67fb_67e5,3,TN,stt11,tra,査,U+67FB,查,U+67E5,5,4,5,4,,,,,,,,0.42,True,True,True,吒喳奓扠抯拃挓揸搽摣柤查査楂槎樝渣溠皻砟碴苴茬荏菹蹅鉏餷馇齄齇䃎𠞊𠭯𢲽𢸉𣕈𣕗𣙁𣞚𥠙𥹁𦉆垞嵖猹磱鳿,,stt2: 査 0 / 查 7; stt4: 査 0 / 查 2,,,,,
L085_stt2_ai_57c3_6328,3,TN,stt2,ai,埃,U+57C3,挨,U+6328,26,4,26,4,,,,,,,,0.5,True,True,True,ヌ些偯剴匕哀哎唉嗳噯埃娭它挨捱捽欸絯誒诶鎄鑀锿㗒𠳒𢖵𢜺𢰇霭靄,唉:9,stt4: 埃 8 / 挨 1; stt11: 埃 40 / 挨 1,,,,,
L086_stt2_bạc_6cca_767d,3,TN,stt2,bạc,泊,U+6CCA,白,U+767D,9,4,9,4,,,,,,,,0.62,True,True,True,亳伯包匏博帕愽懪撲昰欂泊泺洦淿湐溥濼爆玉瓝瓟白礡礴箔簙簿粕膊舶萡蒲薄謈鉑鑮铂雹霸鞄魄鮊鲌㴖㿟䙏䩝𣍸𣶊𤃸𤼽𤽁𥙃𦣺𦻈𩊋𩋲𩍂𩎘𩎾𩫯𩲸󱯔帊,伯:2,stt4: 泊 4 / 白 0; stt11: 泊 6 / 白 0,,,,,
L087_stt2_lên_9023_84ee,3,TN,stt2,lên,連,U+9023,蓮,U+84EE,44,4,44,4,,,,,,,,0.49,True,True,True,年瑨苓蓮連𢧚𨑗𨕭𨖲𫧧𬨠𬨺󰁯󰓁,年:3,stt4: 連 51 / 蓮 1; stt11: 連 28 / 蓮 0,,,,,
L088_stt2_lộc_797f_7984,3,TN,stt2,lộc,祿,U+797F,禄,U+7984,5,4,5,4,,,,,,,,0.12,True,True,True,六娽廘摝梺樚淥漉琭甪盝睩碌磟祿禄簏簶螰角觻谷趢轆辘逯陸鹿麓㯟䃙䴪𠫪𢉖𢊩𣝹𣼟𥜅𦬩𦽎𨌠𨏔𩌫𪋤𪋵󰉂渌碌,,stt4: 祿 0 / 禄 3; stt11: 祿 2 / 禄 6,,,,,
L089_stt2_trước_7565_7567,3,TN,stt2,trước,略,U+7565,畧,U+7567,7,4,7,4,,,,,,,,0.29,True,True,True,𱐨𱏯斮櫡略畧着竹箸苉著訳㗉𠓀𠠩𣋐𣥧𨍦𨎟𨎠𫏾𬧻󰁡󰠈󱈘󱙹𠓍,,stt4: 略 0 / 畧 62; stt11: 略 0 / 畧 83,,,,,
L090_stt4_ai_57c3_5509,3,TN,stt4,ai,埃,U+57C3,唉,U+5509,8,4,8,4,,,,,,,,0.38,True,True,True,ヌ些偯剴匕哀哎唉嗳噯埃娭它挨捱捽欸絯誒诶鎄鑀锿㗒𠳒𢖵𢜺𢰇霭靄,挨:1,stt2: 埃 26 / 唉 9; stt11: 埃 40 / 唉 2,,,,,
L091_stt4_dối_5bfe_5bf9,3,TN,stt4,dối,対,U+5BFE,对,U+5BF9,4,4,4,4,,,,,,,,0.5,True,True,True,咄噲嚉对対對肁𠱤𠲝𡓃𡭊𢇉𫴬,對:1,stt2: 対 6 / 对 2; stt11: 対 9 / 对 4,,,,,
L092_stt4_liên_9023_84ee,3,TN,stt4,liên,連,U+9023,蓮,U+84EE,29,4,29,4,,,,,,,,0.5,True,True,True,嗹噒忴怜憐梿槤涟漣瀾璉联聨聫聮聯苓莲蓮裢褳謰连連鍊鏈链鰱鲢㜕㥕㦭䃛䏈𢣶𦕱𦖹𦘈𧐖𨘑𩽴󱫻,,stt2: 連 64 / 蓮 3; stt11: 連 48 / 蓮 0,,,,,
L093_stt4_lần_541d_5404,3,CS+TN,stt4,lần,吝,U+541D,各,U+5404,34,4,34,4,,,,,,,,0.5,True,True,True,各吝夤寅層恡悋濥路㖁㝙𠞺𠫤𠯌𠯛𠲲𠳈𠳺𠳻𠴽𡓓𡓵𡨒𡩟𡩪𡫫𡽘𢁐𢙵𢭹𣍵𥦕𦦚𨁮𨱴𫬪󱪻,,stt2: 吝 13 / 各 3; stt11: 吝 27 / 各 9,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,吝,吝(81),17,
L094_stt4_tay_601d_816e,3,TN,stt4,tay,思,U+601D,腮,U+816E,9,4,9,4,,,,,,,,0.39,True,True,True,塞壦思拪指揌検碎腮遷𢬣𪮏󱭦,,stt2: 思 2 / 腮 3; stt11: 思 2 / 腮 13,,,,,
L095_stt4_thành_57ce_6210,3,TN,stt4,thành,城,U+57CE,成,U+6210,49,4,49,4,,,,,,,,0.5,True,True,True,城塍宬成清盛誠诚郕𢦩𢧚𧶔铖,誠:1,stt2: 城 92 / 成 2; stt11: 城 58 / 成 1,,,,,
L096_stt4_trên_9023_84ee,3,TN,stt4,trên,連,U+9023,蓮,U+84EE,63,4,63,4,,,,,,,,0.5,True,True,True,珕蓮連𨑗𨕭𨖲𬨺󰓱,,stt2: 連 36 / 蓮 11; stt11: 連 55 / 蓮 2,,,,,
L097_stt4_đã_340c_62d6,3,TN,stt4,đã,㐌,U+340C,拖,U+62D6,74,4,74,4,,,,,,,,0.5,True,True,True,乑也卒吏吔它拖易胣諸陀㐌𠰹𢒕𣦁𧭷,也:8,stt2: 㐌 28 / 拖 3; stt11: 㐌 12 / 拖 0,,,,,
L098_stt4_đẹp_67bc_8449,3,TN,stt4,đẹp,枼,U+67BC,葉,U+8449,5,4,5,4,,,,,,,,0.0,True,True,True,媟怗惵擛枼牒聶葉㥈䈎𢛐𢜨𢢲𤗽𥮧𦯧𦯲𦶫𦹁𫅠𬙾󱫡,,stt2: 枼 0 / 葉 5; stt11: 枼 0 / 葉 11,,,,,
L099_stt11_khỏi_584a_7470,3,TN,stt11,khỏi,塊,U+584A,瑰,U+7470,82,3,82,3,,,,,,,,0.5,True,True,True,塊瑰,,stt2: 塊 64 / 瑰 6; stt4: 塊 22 / 瑰 2,,,,,
L100_stt11_làm_4e44_722a,3,CS+TN,stt11,làm,乄,U+4E44,爪,U+722A,10,3,10,3,,,,,,,,0.5,False,True,True,乄滥漤濫灠爪爫藍㕚𣩂𣽦𪵯𫜵𬈋󰥎󱛝,爫:3,stt2: 乄 1 / 爪 0; stt4: 乄 10 / 爪 0,G. ÂM LỆCH – NÊN XEM LẠI,爫,爫(17),6,
L101_stt11_lành_51b7_4ee4,3,TN,stt11,lành,冷,U+51B7,令,U+4EE4,39,3,39,3,,,,,,,,0.5,True,True,True,令伶冷姈忴怜汵聆肑苓蓮袊䕘𠘤𠸖𡅐𡅑𫅜𫅞𬙽󰃬,,stt2: 冷 22 / 令 5; stt4: 冷 37 / 令 3,,,,,
L102_stt11_phạt_7f70_7f78,3,CS+TN,stt11,phạt,罰,U+7F70,罸,U+7F78,28,3,28,3,,,,,,,,0.5,True,True,True,伐傠垡帗撥栰橃瞂筏罚罰罸𠟑𠟟𦋬紱绂,罚:3,stt2: 罰 28 / 罸 1; stt4: 罰 39 / 罸 0,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,罰,"罰(95), 罚(3), 伐(1)",4,
L103_stt11_rừng_68f1_697c,3,CS+TN,stt11,rừng,棱,U+68F1,楼,U+697C,4,3,4,3,,,,,,,,0.38,True,True,True,棱楞楼稜𡹃𡼹𤗷󱺅澄,稜:1,stt2: 棱 5 / 楼 3; stt4: 棱 10 / 楼 1,G. ÂM LỆCH – NÊN XEM LẠI,,,7,
L104_stt11_sau_5a04_697c,3,TN,stt11,sau,娄,U+5A04,楼,U+697C,58,3,58,3,,,,,,,,0.5,True,True,True,嗟娄婁差搂楼牢畧畱瘥窂罒荖蹉䁟𡕘𡘠𡢐𢀞𢀠𢀩𢖕𢖖𤘰𥥑𥹰𨍦𨎠𪢈𫏻𫐂𬧻󰐨󰥉󱛪󱝢󲘣,,stt2: 娄 0 / 楼 0; stt4: 娄 0 / 楼 0,,,,,
L105_stt2_chước_65ab_65ae,3,CS+TN,stt2,chước,斫,U+65AB,斮,U+65AE,19,3,19,3,,,,,,,,0.5,True,True,True,剢勺妁彴所捉斫斮斲斵斸杓櫡汋灼焯燋的硳禚筯箸繳缴職著酌隼㓸䂨𠠩𣂡𣂪𣃀𣃂𣃃𣃆𣃋𣃏𣃖𣋐𣏐𣚰𣛰𣥧𤆥𥐊𥖛𥯄𦅾𦘣𧝳𨮕𨯴𫍍硦,所:1,stt4: 斫 1 / 斮 0; stt11: 斫 21 / 斮 0,G. ÂM LỆCH – NÊN XEM LẠI,斫,"斫(42), 勺(0), 妁(0), 灼(0), 繳(0)",3,
L106_stt2_cùng_5171_62f1,3,TN,stt2,cùng,共,U+5171,拱,U+62F1,262,3,262,3,,,,,,,,0.5,True,True,True,供共其塘廾弯強拱拲珙穷穹窮竆藭蛩蛬邛䓖䠻𠔏𡀳𡃕𥧺𥨪𦱹𧅉𧅓𧉨𧊡𧊮𧋄𧋯𧋳𧌪𧎦𧏒𨉺𩇿󰠃棩筇跫銎,其:57 穷:11 邛:8 穹:5,stt4: 共 172 / 拱 0; stt11: 共 274 / 拱 1,,,,,
L107_stt2_cả_5947_7ad2,3,CS+TN,stt2,cả,奇,U+5947,竒,U+7AD2,53,3,53,3,,,,,,,,0.5,False,True,True,仍哿垰奇架竒𠵲𪥘󱝝󱝮󱼓,哿:13,stt4: 奇 6 / 竒 6; stt11: 奇 6 / 竒 14,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,哿,哿(31),25,
L108_stt2_gọi_5672_2819d,3,TN,stt2,gọi,噲,U+5672,𨆝,U+2819D,4,3,4,3,,,,,,,,0.12,True,True,True,哙喂噲𨆝,,stt4: 噲 4 / 𨆝 1; stt11: 噲 9 / 𨆝 0,,,,,
L109_stt2_liên_9023_84ee,3,TN,stt2,liên,連,U+9023,蓮,U+84EE,64,3,64,3,,,,,,,,0.5,True,True,True,嗹噒忴怜憐梿槤涟漣瀾璉联聨聫聮聯苓莲蓮裢褳謰连連鍊鏈链鰱鲢㜕㥕㦭䃛䏈𢣶𦕱𦖹𦘈𧐖𨘑𩽴󱫻,,stt4: 連 29 / 蓮 4; stt11: 連 48 / 蓮 0,,,,,
L110_stt2_liệt_5217_70c8,3,TN,stt2,liệt,列,U+5217,烈,U+70C8,10,3,10,3,,,,,,,,0.5,True,True,True,例冽列劣咧哷埒寽戾捋捩栵洌烈烮煭脟茢蛚裂趔迾颲鴷䴕𠗗𠗢𠛱𠜊𠜺𢖬𢚃𣶄𣸟𤈘𤉩𤋴𤍅𤎁𤎾𧙩𧙷𧚲𧛯𧛵𨾸𩷈𬏩,,stt4: 列 6 / 烈 11; stt11: 列 14 / 烈 0,,,,,
L111_stt2_lần_541d_5404,3,CS+TN,stt2,lần,吝,U+541D,各,U+5404,13,3,13,3,,,,,,,,0.5,True,True,True,各吝夤寅層恡悋濥路㖁㝙𠞺𠫤𠯌𠯛𠲲𠳈𠳺𠳻𠴽𡓓𡓵𡨒𡩟𡩪𡫫𡽘𢁐𢙵𢭹𣍵𥦕𦦚𨁮𨱴𫬪󱪻,,stt4: 吝 34 / 各 4; stt11: 吝 27 / 各 9,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,吝,吝(81),17,
L112_stt2_ru_7531_6cb9,3,TN,stt2,ru,由,U+7531,油,U+6CB9,7,3,7,3,,,,,,,,0.36,True,True,True,凨欤歟油游由與遊𠱋𨒣󰡽󱺄,,stt4: 由 3 / 油 4; stt11: 由 6 / 油 1,,,,,
L113_stt2_thưa_8e08_758e,3,CS+TN,stt2,thưa,踈,U+8E08,疎,U+758E,9,3,9,3,,,,,,,,0.5,True,True,True,撪申疎疏踈䜹𠲿𠽔𤴚𫄋󰣚󱗷󱛕,,stt4: 踈 6 / 疎 1; stt11: 踈 24 / 疎 0,G. ÂM LỆCH – NÊN XEM LẠI,,,4,
L114_stt2_đã_340c_62d6,3,TN,stt2,đã,㐌,U+340C,拖,U+62D6,28,3,28,3,,,,,,,,0.5,True,True,True,乑也卒吏吔它拖易胣諸陀㐌𠰹𢒕𣦁𧭷,也:12 吔:1,stt4: 㐌 74 / 拖 4; stt11: 㐌 12 / 拖 0,,,,,
L115_stt4_cô_59d1_4f30,3,TN,stt4,cô,姑,U+59D1,估,U+4F30,9,3,9,3,,,,,,,,0.44,True,True,True,估呱咕喿夃姑嫴孤家搰柧沽泒瓜瘔笟箍箛篐罛胍苦苽菇菰蛄蛌觙觚軱軲轂轱辜逭酤鴣鸪㱠䠉䧸𡱨𡲞𡿵𢩍𢪿𢻄𤿛𥂰𦍬𦣮𦱄𧬕𨐞𨑀𨙕𩁧𪆘鈷钴骷,,stt2: 姑 19 / 估 0; stt11: 姑 9 / 估 0,,,,,
L116_stt4_hãy_5509_77e3,3,TN,stt4,hãy,唉,U+5509,矣,U+77E3,9,3,9,3,,,,,,,,0.5,True,True,True,亥俟咍咳唉孩忍挨改欬欸涘矣誒駭駴㐌㗒㤥䀭𠹛𠺡𩡭,,stt2: 唉 1 / 矣 16; stt11: 唉 2 / 矣 10,,,,,
L117_stt4_lành_51b7_4ee4,3,TN,stt4,lành,冷,U+51B7,令,U+4EE4,37,3,37,3,,,,,,,,0.5,True,True,True,令伶冷姈忴怜汵聆肑苓蓮袊䕘𠘤𠸖𡅐𡅑𫅜𫅞𬙽󰃬,苓:4,stt2: 冷 22 / 令 5; stt11: 冷 39 / 令 3,,,,,
L118_stt4_lâu_697c_5a04,3,TN,stt4,lâu,楼,U+697C,娄,U+5A04,13,3,13,3,,,,,,,,0.5,True,True,True,偻僂剅喽嘍塿娄婁屚廔慺憻搂摟楼樓氀溇漊漏牢瘘瘺瘻瞜篓簍縷缕耧耬舊艛蒌蔞蝼螻褸謱貗軁遱鞻顱髅髏㓸䁖䅹䫫䱾𠞭𠶭𡢐𡰌𡳫𢉀𣅘𣏥𣼣𣾡𤵿𥹰𦔪𦧃𦾔𧂜𧢃𧯠𨊖𨋖𩫰𫦉󰀑󰡇󱸻屡屢膢鏤镂颅,婁:6 樓:1,stt2: 楼 2 / 娄 4; stt11: 楼 24 / 娄 1,,,,,
L119_stt4_ma_9b54_6469,3,TN,stt4,ma,魔,U+9B54,摩,U+6469,5,3,5,3,,,,,,,,0.5,True,True,True,么吗嗎嘛嚒嚜妈媽嫫嬤嬷孖尛庅摩擵攠痲痳磨菻蔴藦蘑靡饝馍駡髍魔麻麼麽㕰䁲䃺䯢𡣥𡭚𡭯𡮡𢉳𢣾𢳀𤹳𥖤𥗂𥗘𦇑𦲬𧀋𪎚𬍄劘厤礳耱蚂螞,磨:1 麻:1,stt2: 魔 7 / 摩 0; stt11: 魔 9 / 摩 0,,,,,
L120_stt4_mừng_660e_7700,3,CS+TN,stt4,mừng,明,U+660E,眀,U+7700,12,3,12,3,,,,,,,,0.5,True,True,True,ㇶ峺明朋朙盟眀𠘨𢜏𢜠𣇱𣷠𧟡𪢣󱝂󱝱,朋:1,stt2: 明 32 / 眀 0; stt11: 明 45 / 眀 0,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,𢜠,𢜠(0),3,
L121_stt4_nhiêu_9952_50e5,3,TN,stt4,nhiêu,饒,U+9952,僥,U+50E5,12,3,12,3,,,,,,,,0.5,True,True,True,僥堯娆嬈桡橈荛蕘蛲蟯襓趬跷蹺蹻饒饶𡆁𡗉𣓤𣦜𦪛𧑣𩜙𬼀󰕭󰘵侥,,stt2: 饒 1 / 僥 10; stt11: 饒 0 / 僥 0,,,,,
L122_stt4_ru_6cb9_7531,3,TN,stt4,ru,油,U+6CB9,由,U+7531,4,3,4,3,,,,,,,,0.38,True,True,True,凨欤歟油游由與遊𠱋𨒣󰡽󱺄,,stt2: 油 3 / 由 7; stt11: 油 1 / 由 6,,,,,
