Codepoint,Character,kDefinition
U+3E25,㸥,"household registers, printing plate, supporting boards used in building walls, (same as 欃) sandalwood, water gate; sluice; floodgate"
U+3E26,㸦,(non-classical form same as 互) mutually; together; each other (dialect) scratching or clawing to and fro
U+3E27,㸧,"(interchangeable 啃) to bite; to gnaw, a gnashing sound, (standard form 齦) gums (of the teeth), erosion; to erode"
U+3E28,㸨,a big bull
U+3E29,㸩,to desist an ox (止牛)
U+3E2A,㸪,an ox walking slowly
U+3E2B,㸫,"(same as 犍) castrated bull; ox, name of a political division in ancient China; today's Sichuan Province, a kind of animal (looks like an ox)"
U+3E2C,㸬,"a two-years-old ox, ox with a long body, ox with long and big feet"
U+3E2D,㸭,the opposite; contrary of the cattle's horns
U+3E2E,㸮,"bull; bullock; ox (castrated), a four years old ox"
U+3E2F,㸯,"a fine breed of cattle (cow, bull or ox), hornless cattle"
U+3E30,㸰,(same as 犐) hornless cattle
U+3E31,㸱,(same as 㸰 犐) hornless cattle
U+3E32,㸲,a kind of mountain cattle; big and heavy
U+3E33,㸳,a kind of cattle
U+3E35,㸵,the lowing of an ox
U+3E36,㸶,color of the oxtail; a flat yellow
U+3E37,㸷,(same as 觢) a kind of cattle with two horns straight up
U+3E38,㸸,"calf, bull; bullock; ox (castrated), (a variant) domesticated animals"
U+3E39,㸹,"cattle with white stripe on the back, variegated; parti-colored, mixed; impure"
U+3E3A,㸺,a cow; female of certain animals
U+3E3B,㸻,a kind of cattle; a yearling calf
U+3E3C,㸼,(same as 犎) the zebu; or humped-ox
U+3E3D,㸽,"a two-years-old ox, ox with long and big feet"
U+3E3E,㸾,(same as 牣) to filled up; full of; filled with; replete with (interchangeable 韌) soft but tough; elastic
U+3E3F,㸿,(abbreviated form of 犢) a calf
U+3E40,㹀,a cow; female of an animal
U+3E41,㹁,"generally called the animals (cattle, sheep etc.) with mixed color of white and black"
U+3E42,㹂,"untamed and indocility cattle, huge; big; large"
U+3E43,㹃,"two brindled cows to plough face to each other, to cultivate; to plant after the second time of ploughing; (Cant.) to push lightly, flick off"
U+3E44,㹄,a kind of cattle; a cattle of short statured
U+3E45,㹅,(same as 總) all; general
U+3E46,㹆,"the coulter of a plough; head of a brindled cow, a kind of cattle"
U+3E47,㹇,"(same as standard form 犍) a kind of cattle, castrated bull; ox"
U+3E48,㹈,"(same as 膧 犛) a black ox, a yak, name of a state in old times"
U+3E49,㹉,"a legendary animal (some kind looks like a cow) with three feet, a wild ox; the bison"
U+3E4A,㹊,a cattle of white color
U+3E4B,㹋,"a cow; ox; bull; cattle, a cow with no tail"
U+3E4C,㹌,"cattle; domestic animals, a cow; female of an animal"
U+3E4D,㹍,bull; bullock; ox (castrated)
U+3E4E,㹎,"bull; bullock; ox (castrated), 求子牛"
U+3E4F,㹏,"a tame, gentle and yielding cow; good, virtuous"
U+3E50,㹐,to tow a boat against the current in swift stream from the bank; to track a boat in the shallow area
U+3E51,㹑,(same as large seal type form of 牭) four-year old cattle; two and a half year-old cattle
U+3E52,㹒,"bull; bullock, a calf"
U+3E53,㹓,"a kind of animal, cattle and horses to prance; to be lively"
U+3E54,㹔,"cattle with long back, a white cattle; a cattle having white color on the back"
U+3E55,㹕,"inferior; mean, minor"
U+3E56,㹖,"(same as 豢) to feed animals with grains, to feed; to rear; to raise; to support"
U+3E57,㹗,cattle and sheep have no children
U+3E58,㹘,"shinbone of a cattle, a kind of cattle"
U+3E59,㹙,"sound of calling to a calf, calf, the lowing of an ox"
U+3E5A,㹚,"(same as 㹙) sound of calling to a calf, calf, the lowing of an ox"
U+3E5B,㹛,"a tame, gentle and yielding cow; good, virtuous"
U+3E5C,㹜,"(same as 犾) two dogs barking at each other, rude spoken language; rude talk; unpolished; rustic and coarse"
U+3E5D,㹝,"a legendary wild animal, snake; serpent"
U+3E5E,㹞,"(same as 狺) to bark (said of a dog), (same as 齗) gums (of the teeth), (same as 啀) dogs to fight with gnashing and grinning; looks very angry"
U+3E5F,㹟,"a kind of animal, the animals to run about wildly, wild; mad; crazy, (same as 獪) cunning; artful; crafty"
U+3E60,㹠,"(same as 豚) a small big; a sucking pig, to shuffle along without lifting the feet"
U+3E61,㹡,"a rush and impatient disposition, (non-classical form 狷) rash; quick-tempered; narrow-minded, honest and straightforward"
U+3E62,㹢,"a large ape found in Western China, a precious mammal found in Africa"
U+3E63,㹣,a kind of dog
U+3E64,㹤,"(same as 怯) lacking in courage; cowardly, nervous; socially timid; fright"
U+3E65,㹥,a yellow dog with black head
U+3E66,㹦,"dog with a short tail, (same as non-classical form 貂) the sable; the marten; mink"
U+3E67,㹧,(non-classical abbreviated form) fox-like animal
U+3E68,㹨,"(same as 貁 non-classical form 狖) a kind of animal (looks like weasel), an ape with black color and long tail"
U+3E6A,㹪,"(same as 狦) a fierce dog, a kind of animal (looks like a wolf)"
U+3E6B,㹫,a kind of animal (same as 夷) generally called for minority groups in old China
U+3E6C,㹬,a kind of animal (of dog tribe)
U+3E6D,㹭,"a kind of monkey, fox"
U+3E6E,㹮,a kind of animal (of mule tribe) (same as 貘) tapir
U+3E6F,㹯,"(same as 貅) a kind of animal like a tiger, a fabulous fierce beast -- thus -- fierce; valiant; heroic; brave"
U+3E71,㹱,"name of a dog in the period of Warring States (usually known as the magpie, jackdaw), generally called for dogs"
U+3E72,㹲,"a frightened pig or dog, bark, a running pig"
U+3E73,㹳,a kind of ape (gibbon)
U+3E74,㹴,"a kind of animal, fierce dog; small and cute"
U+3E75,㹵,"a hunting-dog, to hunt in winter, imperial tour"
U+3E76,㹶,a kind of wild animal (monkey tribe)
U+3E77,㹷,"(same as 狶 豨) swine; pig; hog; big wild pig, sound used in calling pigs, a legendary appellation of an emperor in ancient times"
U+3E78,㹸,"(same as 猊) the lion, a wild beast or wild horse which can do 500 lǐ in a day"
U+3E79,㹹,a kind of dog
U+3E7A,㹺,"dog to take food, a biter (said of a dog)"
U+3E7B,㹻,"(same as 猧) puppy, of dog tribe"
U+3E7C,㹼,a kind of animal
U+3E7D,㹽,"to bite (said of a dog), dog to take food"
U+3E7E,㹾,"cunning; crafty; sly; wily; artful, vigorous; strong"
U+3E7F,㹿,"a fierce dog, bite fiercely (said of dog), hunting in winter, a kind of beast"
U+3E80,㺀,"(same as 猱) a monkey with yellow hair, crocodile; alligator"
U+3E81,㺁,a kind of beast
U+3E82,㺂,"big and strong sheep, a ewe or she-goat, kind of dog, a dog barking loudly"
U+3E83,㺃,(same as 狗) a dog; canine
U+3E84,㺄,(same as 狳) (a variant of 貐) a kind of beast
U+3E85,㺅,(same as 猴) the monkey
U+3E87,㺇,"a warden; (in ancient China) minister of public works, to observe; to watch"
U+3E88,㺈,to go hunting; to go on a hunting expedition
U+3E89,㺉,a fierce animal of the dog tribe; with dog's head and horse tail; with yellow and black colors
U+3E8A,㺊,a beast (looks like lion)
U+3E8B,㺋,pig; hog
U+3E8C,㺌,"endless barking, two dogs are fighting"
U+3E8D,㺍,a kind of otter
U+3E8E,㺎,fierce beast; the zebu; or humped-ox
U+3E8F,㺏,(same as 貗) the badger; a wild bear
U+3E90,㺐,"(same as 獠) a general term for minority groups (southwest area) in old China; to hunt at night by torches; lascivious, weird, allurements"
U+3E91,㺑,"dogs wormed through a narrow place, to oppress cruelly; to injure heartlessly, dogs biting, dog's hair, legendary monster (looks like a dwarf), bark"
U+3E92,㺒,"barking of a frightened dog, to confuse; disorder; disturbance, cunning; artful; crafty, to fail and be exposed"
U+3E93,㺓,"(same as 蹟) footprints; traces (interchangeable 僄) agile; adroit; nimble, frivolous; playful; flippant"
U+3E94,㺔,"a kind of beast, a legendary monster"
U+3E95,㺕,"the fighting sound of dogs, agile; sprightly"
U+3E96,㺖,"dogs barking, little dog; a puppy, name of a place in today's Henan Province Xinyexian"
U+3E97,㺗,to bite; to gnaw; dogs bite
U+3E98,㺘,a kind of animal
U+3E9A,㺚,(same as 獺) an otter
U+3E9B,㺛,"name of a village in Henan Province, name of a pavilion"
U+3E9C,㺜,fierce dog with long shaggy hair; an old name for a part of the Miao nationality (in southwestern China)
U+3E9D,㺝,"sound of a tiger, a fierce dog barking endlessly, a fierce dog, sound of a dog's biting"
U+3E9E,㺞,"to sign in lamentation, crying of a piggy, a kind of beast"
U+3E9F,㺟,a kind of beast; looks like a deer; white-tailed (same as 蠗) a kind of animal (of monkey tribe)
U+3EA0,㺠,"a black ape with long tail, (same as 貁) a kind of animal (of weasel tribe)"
U+3EA1,㺡,a kind of beast
U+3EA2,㺢,a kind of animal; body is smaller than a giraffe; two short horns on the head; back and legs with black and white stripes spaced in-between
U+3EA3,㺣,a kind of animal; pig hog
U+3EA4,㺤,a kind of beast
U+3EA5,㺥,"bark, (same as 毚) a cunning hare; a wily rabbit"
U+3EA6,㺦,"a running animal, monkey climbing along the trees, a rutted dog"
U+3EA7,㺧,"a white-yellow dog, a yellow dog, a mad dog, a group of dogs bark wildly"
U+3EA8,㺨,fine stone like jade
U+3EA9,㺩,"jade articles, (same as 玌) a kind of jade"
U+3EAA,㺪,(same as 璞) an uncarved of unpolished jade or gem
U+3EAB,㺫,(same as 玌) a kind of jade
U+3EAC,㺬,(same as 珙) a large piece of jade-stone
U+3EAD,㺭,a kind of jade
U+3EAE,㺮,(same as 玗) fine stone like jade
U+3EB0,㺰,(same as 瑡) a kind of jade
U+3EB1,㺱,a kind of jade
U+3EB2,㺲,(ancient form of 鈕) buttons
U+3EB3,㺳,(same as 玫) black mica (a sparkling red gem)
U+3EB4,㺴,"name of a spirit; a god, a kind of jade"
U+3EB5,㺵,(corrupted form of 玖) black jade-stone
U+3EB7,㺷,(same as 珬) a kind of jade (jade decorative article for a horse)
U+3EB8,㺸,a kind of jade
U+3EB9,㺹,"a kind of jade, a conical cap (wore on ceremonious occasions in ancient times) decorated with jade"
U+3EBA,㺺,(ancient abbreviated form of 瑁) a very precious piece of jade worn by ancient emperors to match tables borne by the nobles
U+3EBF,㺿,"a jade-like stone, a kind of jade"
U+3EC0,㻀,fine stone which is little less valuable than jade
U+3EC1,㻁,"(non-classical form of 瓌) (variant of 瑰) a kind of jasper; stone which is little less valuable than jade, extraordinary; fabulous or admirable"
U+3EC2,㻂,"a kind of jade, (non-classical form of 玭) pearls"
U+3EC3,㻃,"crooked; to bend; to twist, involved; indirect"
U+3EC4,㻄,"(same as 寶) treasure, precious; valuable, respectable; honorable"
U+3EC5,㻅,"(simplified form of 璯) jade decorated cap, used in person's name"
U+3EC9,㻉,fine jade
U+3ECA,㻊,(same as non-classical form of 璊) a red colored jade
U+3ECB,㻋,(abbreviated form) (interchangeable 瓬) a kind of jade; a kind of red colored precious stone
U+3ECC,㻌,fine jade
U+3ECD,㻍,"(interchangeable 珸) name of a sword, fine stone which is little less valuable than jade"
U+3ECE,㻎,"(ancient form of 瑟) a large horizontal musical instrument, usually have 25 strings which pass over bridges for tuning; anciently this instrument had 50 strings, but the number varies"
U+3ECF,㻏,(same as 玲) tinkling of jade pendants
U+3ED1,㻑,a kind of jade
U+3ED2,㻒,"red colored jade, even; regular; equal"
U+3ED3,㻓,"a fine jade, the stripes (lines) on a jade"
U+3ED4,㻔,a kind of jade
U+3ED5,㻕,a kind of jade
U+3ED6,㻖,a kind of jade
U+3ED7,㻗,(same as 琲) a string of pearls; 500 beads
U+3EDD,㻝,a kind of jade
U+3EDE,㻞,"(interchangeable 彬) flourishing and radiant of the colorful jades, ornamental, refined, lines or stripes on the jade"
U+3EDF,㻟,a kind of jade
U+3EE0,㻠,"jade hanging on the sides of the cap in ancient times; used to plug the ears, to take; to receive"
U+3EE1,㻡,"(interchangeable 鞢) a jade ring with a small segment cut off; used to indicate separation, a thumb-ring worn by archers, tinkling sound of clicking (said of metal), (corrupted form of 渫) to remove; to eliminate"
U+3EE7,㻧,a kind of jade
U+3EE8,㻨,fine stone a little less valuable than jade
U+3EEA,㻪,a kind of jade; (same as 璿 璇) fine jade
U+3EEB,㻫,(same as ancient form of 珌) a gem or ornament on a scabbard
U+3EEC,㻬,a kind of jade
U+3EED,㻭,(same as 璱) clear; pure and fine (said of jade)
U+3EEE,㻮,(same as non-classical form of 璨) bright and brilliant; lustrous and luminous
U+3EEF,㻯,(same as non-classical form of 㻬) a kind of jade
U+3EF0,㻰,decorated jade or ornament on a scabbard
U+3EF1,㻱,"to circle; to revolve round; to surround; to encase, (same as 璡) used in person's name, jade like stone"
U+3EF2,㻲,"a rite or service for beginning of Autumn (date marking the beginning of one of the 24 seasonal periods in a year, falling normally on August 8 or 9)"
U+3EF5,㻵,a kind of jade
U+3EF6,㻶,"a jade tube with white and nature colors, jade with the colour of nature (green; blue; black), sapphire"
U+3EF7,㻷,"name of a place (be famous for fine jade), a kind of jade"
U+3EF8,㻸,jade like stone
U+3EF9,㻹,"a crack; a crevice, spare time; leisure"
U+3EFA,㻺,a kind of jade
U+3EFD,㻽,(same as 璿 璇) fine jade
U+3EFE,㻾,"jade articles, fine stone which is little less valuable than jade"
U+3EFF,㻿,a kind of jade
U+3F02,㼂,(same as 璺) a crack in jade (or porcelain)
U+3F04,㼄,"(same as 璣) pearls, jade, etc. which are not quite circular"
U+3F06,㼆,used in people's names
U+3F07,㼇,"(same as non-classical form of 瓗) (same as 瓊) fine jade or agate; red stone, exquisite; fine, variety of jade"
U+3F08,㼈,"珂㼈版, collotype"
U+3F09,㼉,green colored melons
U+3F0A,㼊,a kind of melon
U+3F0B,㼋,"the cucumber, dried (preserved) vegetable"
U+3F0C,㼌,"lot of melons growing but the root is weak and feeble, wearied and worn"
U+3F0D,㼍,"pulp of a melon, a kind of melon"
U+3F0E,㼎,a small melon
U+3F0F,㼏,"a bruised, overripe or rotten melon (傷瓜,傷熟瓜)"
U+3F10,㼐,a kind of white melon
U+3F11,㼑,pulp of a melon
U+3F12,㼒,"a kind of big melon, a long melon"
U+3F13,㼓,"melon seeds, a kind of melon"
U+3F14,㼔,a kind of melon
U+3F15,㼕,pulp of a melon
U+3F16,㼖,gourd used as a ladle or dipper
U+3F17,㼗,a brick
U+3F18,㼘,of mountain; high and lofty
U+3F19,㼙,"(same as ancient form of 甃) brickwork of a well, to repair a well, to lay bricks"
U+3F1A,㼚,"earthware; pottery (a basin; a pot; a bowl. a cistern; a crock), (interchangeable 缸) a big earthen jar"
U+3F1B,㼛,(same as 鈃) long necked wine vessels (bottle; pot; jar; and cups etc.)
U+3F1C,㼜,"(same as 盎) a basin; pot; bowl or dish, sleek; well-favoured, abundant, a musical instrument"
U+3F1D,㼝,(same as 盌) (a variant of 碗) a bowl; a basin; a cup; a dish
U+3F1E,㼞,"jar with a small mouth, an earthen jar, a jar for the ashes of the dead"
U+3F1F,㼟,"a tiled house, brick wall of a well"
U+3F20,㼠,"a crock with narrow opening, an earthen jar"
U+3F21,㼡,"a small jar with a small mouth, a bottle; pitcher; jug etc."
U+3F22,㼢,"bricks (same as 瓵) an earthen jar, a jar for the ashes of the dead"
U+3F23,㼣,"bricks of the well; brick wall of a well, to build a well, to construct with bricks"
U+3F24,㼤,earthenware (a basin; a pot; a bowl; a crock with a narrow opening)
U+3F25,㼥,"bottle, earthenware"
U+3F26,㼦,earthenware; pottery (bottle; pitcher; jug; vase; crock with a narrow opening)
U+3F27,㼧,tiles in cylinder shape; used to build a palace; a temple or a shrine
U+3F28,㼨,a water-jar with ears for carrying it
U+3F29,㼩,"concave channels of tiling, a long-necked jar, utensil; instrument; implement"
U+3F2A,㼪,"fragments of a tile haven't t been kiln-dried completely, tiles overlapping"
U+3F2B,㼫,"earthenware or pottery with big opening, wine utensil (containers) with big opening"
U+3F2C,㼬,earthenware (a basin; a pot; a bowl; a crock etc.)
U+3F2D,㼭,"(interchangeable 墊) to steady by putting something underneath, to shore up; to prop"
U+3F2E,㼮,"to rub out the filth with broken tiles, brickwork of a well, to repair a well, to lay bricks"
U+3F2F,㼯,earthenware (jar with a small mouth)
U+3F30,㼰,an earthenware jar with a small mouth and two or four ears; used to store water for fire prevention in ancient times
U+3F31,㼱,"to manage or regulate the leather material, soft, hunting clothes (leather trousers)"
U+3F32,㼲,"sound of broken tiles, thin tiles"
U+3F33,㼳,earthenware (a basin; a pot; a bowl; a crock etc.)
U+3F34,㼴,an earthen vessel; a basin; a pot; a jar
U+3F35,㼵,a small basin; a bowl. a cup; a pot; a jar
U+3F36,㼶,earthenware (a basin; a pot; a bowl; a crock etc.)
U+3F37,㼷,"a basin, (same as 甎) a brick; a square tile"
U+3F38,㼸,earthenware (a basin; a pot; a bowl; a crock etc.)
U+3F39,㼹,"earthenware; pottery, a kind container; vessel"
U+3F3A,㼺,"porcelain; porcelain ware; chinaware; china, a small bottle with ears"
U+3F3B,㼻,earthenware (a jar; a jar with a small mouth and two or four ears; a pot; a pitcher)
U+3F3C,㼼,(same as 瓢) a ladle (often made of dried calabash or gourd)
U+3F3D,㼽,fragments of tile incompletely kiln-dried; to scrub out filth with broken tiles
U+3F3E,㼾,bricks
U+3F3F,㼿,"the brick wall of a well, earthenware (a jar; a jar with a small mouth and two or four ears; a pot; a pitcher)"
U+3F40,㽀,earthenware (a basin; a pot; a bowl; a crock etc.)
U+3F41,㽁,"(same as 鬲) a large earthen pot, a large iron cauldron used in old time"
U+3F42,㽂,"a cracked container, a movement of a musical composition in Tang Dynasty"
U+3F43,㽃,a big piece of brick
U+3F44,㽄,"an earthen jar, crack of earthen container, hoarse voice"
U+3F45,㽅,vessel for ceremony in ancient times
U+3F46,㽆,"earthenware; a bowl; a cup, tiles with a circular facade at one end used along the edge of palace eaves during the Han Dynasty"
U+3F47,㽇,"unburnt tiles, earthenware"
U+3F48,㽈,a large earthenware jar with a small mouth and two or four ears; a big pot; bottle; pitcher; jug; vase
U+3F49,㽉,a big jar; a big basin
U+3F4A,㽊,cracking of tile
U+3F4B,㽋,"a kind of tile, earthenware, a cylinder shaped tile used for chimney"
U+3F4C,㽌,the ridge of a roof
U+3F4D,㽍,(same as 坩) an earthen vessel
U+3F4E,㽎,"the profundity of the harem, the mysterious and profound of the forbidden palace, the flourishing and exuberant of the flame"
U+3F50,㽐,(same as 馦) fragrant
U+3F51,㽑,delicious; tasty (same as 醰) full flavoured; rich
U+3F52,㽒,"(same as 甥) the children of a sister, a son-in-law"
U+3F55,㽕,"new branches growing (said of trees), hollow; empty"
U+3F56,㽖,"(same as 男) a human; a man; a boy (non-classical form of 留) to remain; to stay, to keep, to preserve"
U+3F58,㽘,"borderland; the frontier, a pit; a cave, a narrow path in the field, administrative unit for rural community of 傣族 (under the feudal system), pond; a marsh, saltpond, (same as 䴚) salt marsh"
U+3F59,㽙,"(same as 畯) official in charge of farmlands in ancient times; a bailiff or landlord, rustic; crude (ancient form of 允) to allow; to grant"
U+3F5A,㽚,"agricultural implements; farm tools, name of a place"
U+3F5B,㽛,"narrow trail of path in the fields, a name of an old county in today's Yunnan Province"
U+3F5D,㽝,"to sink; to fall, to entrap, to crush; to capture"
U+3F5E,㽞,"(abbreviated form of 留) to remain; to stay, to detain, to leave behind"
U+3F5F,㽟,"to till or to plough the fields (same as 埒) an enclosure, an embankment, a dike"
U+3F60,㽠,connection of the ditches or waterways
U+3F61,㽡,"field, block up the water to irrigate the fields"
U+3F62,㽢,to plough the fields
U+3F63,㽣,"(ancient form of 域) a frontier; a boundary; a region; a country, to keep within bounds"
U+3F64,㽤,a small plot of land
U+3F65,㽥,fertile fields; good land (during the Epoch of Spring and Autumn) name of a place in Zheng Guo (today's Henan Province LuShan Xian
U+3F66,㽦,reclaimed land; flat and in even level
U+3F67,㽧,name of a place
U+3F68,㽨,"fragmented; uncultivated and desolated fields, to eliminate; remove, to clean (interchangeable 瘥) an epidemic; a plague"
U+3F69,㽩,connected banks of earth or paths in the field
U+3F6A,㽪,paddy field; rice field
U+3F6B,㽫,"seeds of the plant allied to the water-lily; used when ground into meal; as a coarse food, also as medicine (same as 壅) to block up, to bank up roots of plants, to impede (flow, etc.)"
U+3F6C,㽬,"(same as 副) to assist, secondary (in importance), rich and dense"
U+3F6D,㽭,"vacant lot or space, soft land; land on the river side"
U+3F6E,㽮,"(same as 星) a point of light, stars; planets, a spark"
U+3F70,㽰,"(corrupted form) carved window frame on a door, the windows with scattered or dispersed frames, a wine filterer"
U+3F71,㽱,"griping colic, a swelling, a little painful; some not serious"
U+3F72,㽲,"(same as 㽱) griping colic, illness; disease"
U+3F73,㽳,illness; disease
U+3F74,㽴,illness; disease
U+3F75,㽵,"(same as non-classical form of 莊) solemn, large farmhouse"
U+3F77,㽷,dropsy; hydrophilic swelling
U+3F78,㽸,"(corrupted form 瘎) diseases of the abdomen, illness, sick for the second time; get sick again"
U+3F79,㽹,"to faint, to feel nausea, abuse; vilification"
U+3F7A,㽺,to be weakened by disease; feeble; lean (a dialect) poor in quality
U+3F7B,㽻,diseases; illness
U+3F7D,㽽,"(same as 痼) chronic disease, a sore in the mouth of a child"
U+3F7E,㽾,"a kind of woman's disease, to cut apart, to break"
U+3F7F,㽿,"(same as 瘑) ulcer; sore; boil, illness; disease"
U+3F80,㾀,"(interchangeable 怯) to be weakened by disease; weak; feeble, lean; emaciated, illness; disease; sick"
U+3F81,㾁,walking like mad; mad
U+3F82,㾂,illness; disease (a dialect) a chronic disease; never recover after a long illness
U+3F83,㾃,hump-backed
U+3F84,㾄,"(ancient form same as 讟) to libel; to slander; complaints; grumblings, blames or curses; to blame, (same as 怞) to grieve, sorrowful, sad and weary"
U+3F85,㾅,"defects; flaws, illness; disease"
U+3F86,㾆,(non-classical form) (said of some kinds of reptiles or insects) ecdysis; to cast off the skin; to molt
U+3F87,㾇,illness; disease; ailment
U+3F88,㾈,"hunchbacked; curved spine, short, dropsy"
U+3F89,㾉,thin; lean; slim; emaciated
U+3F8A,㾊,"(same as 瘦 瘠) thin; lean; slim; emaciated, a kind of skin disease, a chill, a cold, malaria, (interchangeable 瘶 瘷) cough; chilly disease; catching cold"
U+3F8B,㾋,"dysentery; diarrhea, a sore; a boil; an ulcer"
U+3F8C,㾌,"(same as 癬) ringworm, used for various diseases of the skin"
U+3F8D,㾍,"diseases, sticking up or protruding of the big bottom"
U+3F8E,㾎,"(a dialect) sickness; disease, favus (a dialect) everything is good except this particular one"
U+3F8F,㾏,"illness; disease; sickness, idiotic; crazy; insane; silly"
U+3F90,㾐,"ulcer, a sore; swelling and sores caused by varnish-poisoning; pestilence; epidemic, leprosy, (interchangeable 勵) to exhort to great effort; to urge"
U+3F91,㾑,"fat; plump, a chill, a cold, malaria, a wart; a pimple, a round lump"
U+3F92,㾒,"illness; disease, could not have access to ..."
U+3F93,㾓,"fatigue; exhaustion; weariness, ache of the joints (of bones); gout, melancholy; depressed, anger; fury, hatred; bitterness"
U+3F94,㾔,"long illness, ulcer; sore; boil"
U+3F95,㾕,"a chill, a cold, malaria, shivering with cold, a shudder; a shiver; tremble"
U+3F96,㾖,grieved; distressed; ill with grief and exhausted
U+3F97,㾗,"eye disease; strabismus; squint; to look askance (a dialect) bright; light; brilliant, bright eyes"
U+3F98,㾘,(same as 梗) ailment; bane; distress; (Cant.) a bruise
U+3F99,㾙,"(same as 脪) Erysipelas, sloughing of an ulcer, painful; aching"
U+3F9A,㾚,itchy; ticklish
U+3F9B,㾛,ugly; bad-looking
U+3F9C,㾜,weak breath of a sick man
U+3F9D,㾝,"(corrupted form) to leak out; to ejaculate, to scatter; to disperse; to vent"
U+3F9E,㾞,illness; disease (interchangeable 庮) stinking smell of the decayed wood
U+3F9F,㾟,(said of illness) relapse; to relapse (a dialect) relapse of typhoid fever (typhus)
U+3FA0,㾠,a fever
U+3FA1,㾡,ulcer; sore; boil
U+3FA2,㾢,"a malignant disease, a chronic disease"
U+3FA3,㾣,to shiver; to shudder; to tremble because of a malaria and a very bad cold
U+3FA4,㾤,disease of the throat
U+3FA5,㾥,bellyache
U+3FA6,㾦,"scab over a sore, scar of an ulcer, weak; feeble"
U+3FA7,㾧,"favus, swelling of the glands, a lump; scrofulous swellings"
U+3FA8,㾨,"weak; feeble, to mourn, ulcer; cancer; carbuncle, short"
U+3FA9,㾩,malignant boils
U+3FAA,㾪,lean; thin; slim
U+3FAB,㾫,hemiplegia -- paralysis of half of one's body
U+3FAC,㾬,(same as 痎) malaria
U+3FAD,㾭,to shrink; to contract; to deflate; to shorten; to reduce in length
U+3FAE,㾮,(same as 癀) jaundice
U+3FAF,㾯,"to suffer a stroke of paralysis or apoplexy, disease of the private part (of the human body)"
U+3FB0,㾰,"choke, lump in throat; food stuck in the throat"
U+3FB1,㾱,(abbreviated form 癈) incurable disease
U+3FB4,㾴,the erythema of acne rosacea
U+3FB5,㾵,a dark colored birth-mark
U+3FB6,㾶,disease of the knee
U+3FB7,㾷,to ache
U+3FB8,㾸,"a scabby, itching disease"
U+3FB9,㾹,"lean; thin; slim, illness; disease, an epidemic; a pestilence"
U+3FBA,㾺,"eye disease, with noxious air on, disease of an animal, decayed sore"
U+3FBB,㾻,"not any progressive, swelling, a mark of scar on the skin"
U+3FBC,㾼,to suffer a stroke of paralysis or apoplexy
U+3FBD,㾽,"(same as 膇) swelling feet, disease of the private part of the human body"
U+3FBE,㾾,"disease of the throat, something stuck in the throat, to be stung, emaciated; illness of losing flesh"
U+3FBF,㾿,roar of asthma or expectorate from a dying person
U+3FC0,㿀,(same as 癍) unhealthy marks on the skin; blotches; pustules
U+3FC2,㿂,(abbreviated form of 癥) obstruction of the bowels
U+3FC3,㿃,"an ox-headed boil, dysentery; diarrhea, popular name for women's peculiar diseases"
U+3FC4,㿄,the groans or moans from a person in a critical condition
U+3FC5,㿅,"(same as 癬) ringworm, used for various diseases of the skin"
U+3FC6,㿆,"damage by the pests to the rice seedling, boil; ulcer; sore"
U+3FC7,㿇,"paralysis, rheumatism, having no sense of feeling; numb"
U+3FC8,㿈,"(non-classical form of 癰) an ulcer; an abscess; a carbuncle; sometimes use for a cancer, loss of the sense of smell"
U+3FC9,㿉,disease of the private part of the human body
U+3FCA,㿊,very painful; agonizing (same as 憯) sad; sorrowful; grieved
U+3FCB,㿋,(same as 瘙) a kind of skin disease (like sores from scabies)
U+3FCC,㿌,"(interchangeable 㾾) lump in the throat, sting of a poisonous insect (scorpion)"
U+3FCD,㿍,(same as 疥) scabies
U+3FCE,㿎,"sick; depress and melancholy, swelling, heat rashes; heat spots; prickly heat"
U+3FCF,㿏,paralysis of the body
U+3FD1,㿑,illness; disease; ailment
U+3FD2,㿒,"illness; disease; ailment, disease of the internal organs, disease of the abdomen, palpitation of the heart"
U+3FD3,㿓,disease of the hoof
U+3FD4,㿔,a wart; a pimple; a pustule on the skin
U+3FD5,㿕,"ulcer; sore; boil, a wound"
U+3FD6,㿖,"carbuncle (interchangeable 廬) used in naming of a place, a swelling of the abdomen from constipation"
U+3FD7,㿗,(same as 㿉) disease of the private part of the human body
U+3FD8,㿘,to get sick; to fall ill
U+3FD9,㿙,"full; filled, full of air or gas, a heart full of (enthusiasm, sorrow, etc.)"
U+3FDA,㿚,sickness; ailment; disease
U+3FDB,㿛,"carbuncle, sallow and emaciated, scrofulous swellings"
U+3FDC,㿜,(non-classical form of 癟) shrivelled up; empty; limp; flat; not full; sunken
U+3FDD,㿝,"(ancient form of 香) sweet; fragrant, delicious, incense"
U+3FDE,㿞,"(non-classical form of 耄) an old man of eighty, aged"
U+3FDF,㿟,"(same as 白) he bright, white moon; a pure glistening white, splendid, white"
U+3FE1,㿡,"(corrupted form of 兜) a helmet; a head-covering, a small pocket in clothes"
U+3FE2,㿢,"(same as 耀) to shine; to dazzle, to show off"
U+3FE3,㿣,white color
U+3FE4,㿤,"white, clear"
U+3FE5,㿥,"shine; clear and pure white feather (same as 皬) white, white but not pure"
U+3FE6,㿦,to tell; to inform; to report; to accuse
U+3FE7,㿧,"(same as 疇) fields, a pronoun; who?, formerly; previously, a class; a rank"
